trip_id,0521,0529,0536,0539,0801,0806,0811,0816,0821,0826,0901,0906,2241G,2242F,2246F,2351F,2397F,2720F,2726F,2793F,2794F,3308F,3360F,3480,5200F,5205,5261,5264F,5265F,5266F,5267,5311,5312,5352,5407F,5413F,5414F,5415F,5416F,5451F,5459F,5460F,5461F,5462F,5468,5714,5762,6201F,6202,6204,6258,6260F,6419F
113480431238202001,,,,,,23:38:00,,23:39:38,,23:41:05,,23:37:03,23:43:00,,,,,,,23:48:00,,23:47:00,,23:29:00,,,23:31:45,23:30:00,23:33:11,,23:34:20,,,23:36:00,,,,,,23:21:00,23:21:41,23:23:00,23:24:11,23:25:00,23:26:09,,,,,,23:44:39,,
113480432238202001,,,,,,23:53:00,,23:54:38,,23:56:05,,23:52:03,23:58:00,,,,,,,24:03:00,,24:02:00,,23:44:00,,,23:46:45,23:45:00,23:48:11,,23:49:20,,,23:51:00,,,,,,23:36:00,23:36:41,23:38:00,23:39:11,23:40:00,23:41:09,,,,,,23:59:39,,
113480433238202001,,,,,,23:08:00,,23:09:38,,23:11:05,,23:07:03,23:13:00,,,,,,,23:18:00,,23:17:00,,22:59:00,,,23:01:45,23:00:00,23:03:11,,23:04:20,,,23:06:00,,,,,,22:51:00,22:51:41,22:53:00,22:54:11,22:55:00,22:56:09,,,,,,23:14:39,,
113480434238202001,,,,,,22:53:00,,22:54:38,,22:56:05,,22:52:03,22:58:00,,,,,,,23:03:00,,23:02:00,,22:44:00,,,22:46:45,22:45:00,22:48:11,,22:49:20,,,22:51:00,,,,,,22:36:00,22:36:41,22:38:00,22:39:11,22:40:00,22:41:09,,,,,,22:59:39,,
113480435238202001,,,,,24:28:00,,24:26:12,,24:24:37,,24:29:02,,,24:22:00,24:23:00,,24:39:00,,,24:17:00,,,24:19:00,,24:37:00,24:34:46,,,,24:33:09,,24:31:52,24:30:00,,24:40:00,24:41:24,24:43:00,24:44:17,24:45:00,,,,,,,,,,,24:20:39,,,
113480436238202001,,,,,24:48:00,,24:46:12,,24:44:37,,24:49:02,,,24:42:00,24:43:00,,24:59:00,,,24:37:00,,,24:39:00,,24:57:00,24:54:46,,,,24:53:09,,24:51:52,24:50:00,,25:00:00,25:01:24,25:03:00,25:04:17,25:05:00,,,,,,,,,,,24:40:39,,,
113480437238202001,,,,,23:28:00,,23:26:12,,23:24:37,,23:29:02,,,23:22:00,23:23:00,,23:39:00,,,23:17:00,,,23:19:00,,23:37:00,23:34:46,,,,23:33:09,,23:31:52,23:30:00,,23:40:00,23:41:24,23:43:00,23:44:17,23:45:00,,,,,,,,,,,23:20:39,,,
113480438238202001,,,,,,22:38:00,,22:39:38,,22:41:05,,22:37:03,22:43:00,,,,,,,22:48:00,,22:47:00,,22:29:00,,,22:31:45,22:30:00,22:33:11,,22:34:20,,,22:36:00,,,,,,22:21:00,22:21:41,22:23:00,22:24:11,22:25:00,22:26:09,,,,,,22:44:39,,
113480439238202001,,,,,,23:23:00,,23:24:38,,23:26:05,,23:22:03,23:28:00,,,,,,,23:33:00,,23:32:00,,23:14:00,,,23:16:45,23:15:00,23:18:11,,23:19:20,,,23:21:00,,,,,,23:06:00,23:06:41,23:08:00,23:09:11,23:10:00,23:11:09,,,,,,23:29:39,,
113480440238202001,,,,,23:58:00,,23:56:12,,23:54:37,,23:59:02,,,23:52:00,23:53:00,,24:09:00,,,23:47:00,,,23:49:00,,24:07:00,24:04:46,,,,24:03:09,,24:01:52,24:00:00,,24:10:00,24:11:24,24:13:00,24:14:17,24:15:00,,,,,,,,,,,23:50:39,,,
113480459238202001,,,,,,09:15:00,,09:16:58,,09:18:42,,09:13:35,09:21:00,,,,,,,09:26:00,,09:25:00,,09:04:00,,,09:07:02,09:05:00,09:08:43,,09:10:03,,,09:12:00,,,,,,08:56:00,08:56:41,08:58:00,08:59:11,09:00:00,09:01:09,,,,,,09:22:39,,
