trip_id,1382,1585,1586,1587,1639,1640B,2913,7831,7832
113643754238752500,18:21:00,18:24:44,18:27:01,18:28:00,,,,18:32:00,
113643755238752500,18:26:00,18:29:44,18:32:01,18:33:00,,,,18:37:00,
113643756238752500,18:31:00,18:34:44,18:37:01,18:38:00,,,,18:42:00,
113643757238752500,18:36:00,18:39:44,18:42:01,18:43:00,,,,18:47:00,
113643758238752500,18:41:00,18:44:44,18:47:01,18:48:00,,,,18:52:00,
113643759238752500,18:46:00,18:49:44,18:52:01,18:53:00,,,,18:57:00,
113643760238752500,18:51:00,18:54:44,18:57:01,18:58:00,,,,19:02:00,
113643761238752500,18:56:00,18:59:44,19:02:01,19:03:00,,,,19:07:00,
113643762238752500,19:01:00,19:04:12,19:06:10,19:07:00,,,,19:11:00,
113643763238752500,19:06:00,19:09:12,19:11:10,19:12:00,,,,19:16:00,
113643764238752500,19:11:00,19:14:12,19:16:10,19:17:00,,,,19:21:00,
113643765238752500,19:16:00,19:19:12,19:21:10,19:22:00,,,,19:26:00,
113643766238752500,19:21:00,19:24:12,19:26:10,19:27:00,,,,19:31:00,
113643767238752500,19:26:00,19:29:12,19:31:10,19:32:00,,,,19:36:00,
113643768238752500,19:31:00,19:34:12,19:36:10,19:37:00,,,,19:41:00,
113643769238752500,19:36:00,19:39:12,19:41:10,19:42:00,,,,19:46:00,
113643770238752500,19:41:00,19:44:12,19:46:10,19:47:00,,,,19:51:00,
113643771238752500,19:46:00,19:49:12,19:51:10,19:52:00,,,,19:56:00,
113643772238752500,19:51:00,19:54:12,19:56:10,19:57:00,,,,20:01:00,
113643773238752500,19:56:00,19:59:12,20:01:10,20:02:00,,,,20:06:00,
113643774238752500,20:01:00,20:04:12,20:06:10,20:07:00,,,,20:11:00,
113643775238752500,08:11:00,08:14:12,08:16:10,08:17:00,,,,08:21:00,
113643776238752500,08:16:00,08:19:12,08:21:10,08:22:00,,,,08:26:00,
113643777238752500,08:26:00,08:29:12,08:31:10,08:32:00,,,,08:36:00,
113643778238752500,08:21:00,08:24:12,08:26:10,08:27:00,,,,08:31:00,
113643779238752500,16:11:00,,,,16:06:02,16:07:44,16:05:00,,16:01:00
113643780238752500,16:51:00,,,,16:46:02,16:47:44,16:45:00,,16:41:00
113643781238752500,15:46:00,,,,15:41:02,15:42:44,15:40:00,,15:36:00
113643782238752500,17:51:00,,,,17:46:02,17:47:44,17:45:00,,17:41:00
113643783238752500,15:36:00,,,,15:31:02,15:32:44,15:30:00,,15:26:00
113643784238752500,17:06:00,,,,17:01:02,17:02:44,17:00:00,,16:56:00
113643785238752500,17:11:00,,,,17:06:02,17:07:44,17:05:00,,17:01:00
113643786238752500,19:26:00,,,,19:21:02,19:22:44,19:20:00,,19:16:00
113643787238752500,20:06:00,,,,20:01:52,20:03:17,20:01:00,,19:57:00
113643788238752500,19:21:00,,,,19:16:02,19:17:44,19:15:00,,19:11:00
113643789238752500,17:41:00,,,,17:36:02,17:37:44,17:35:00,,17:31:00
113643790238752500,18:56:00,,,,18:51:02,18:52:44,18:50:00,,18:46:00
113643791238752500,16:56:00,,,,16:51:02,16:52:44,16:50:00,,16:46:00
113643792238752500,18:31:00,,,,18:26:02,18:27:44,18:25:00,,18:21:00
113643793238752500,18:16:00,,,,18:11:02,18:12:44,18:10:00,,18:06:00
113643794238752500,15:41:00,,,,15:36:02,15:37:44,15:35:00,,15:31:00
113643795238752500,19:51:00,,,,19:46:02,19:47:44,19:45:00,,19:41:00
