trip_id,1951,1984B,1985B,2382,2384,2610,2660,3810,3814,3815,3851,5058,5916,5917,5920C,5921B,5922,5923,5952,5953,5963,5964,9649B,9686B
113349686237570001,10:42:00,,10:39:00,,10:20:00,,10:32:04,10:25:36,10:26:26,,,10:41:28,10:34:55,10:36:22,,10:34:00,,10:33:14,,,10:28:05,,10:30:28,
113349687237570001,11:07:00,11:09:00,,11:28:00,,11:15:49,,,,11:22:11,11:22:54,,,,11:14:00,,11:15:18,,11:11:43,11:13:07,,11:20:24,,11:17:48
113349688237570001,09:46:00,,09:43:00,,09:22:00,,09:35:48,09:28:23,09:29:21,,,09:45:28,09:38:55,09:40:22,,09:38:00,,09:37:07,,,09:31:14,,09:33:57,
113349689237570001,06:30:00,,06:27:00,,06:12:00,,06:22:21,06:16:48,06:17:31,,,06:29:28,06:24:33,06:25:25,,06:24:00,,06:23:21,,,06:18:55,,06:20:58,
113349692237570001,,,21:57:00,,21:42:00,,21:52:21,21:46:48,21:47:31,,,22:00:00,21:54:33,21:55:25,,21:54:00,,21:53:21,,,21:48:55,,21:50:58,
113349693237570001,21:02:00,,20:59:00,,20:43:00,,20:53:21,20:47:48,20:48:31,,,21:01:28,20:55:44,20:56:53,,20:55:00,,20:54:21,,,20:49:55,,20:51:58,
113349694237570001,18:44:00,,18:40:00,,18:21:00,,18:33:56,18:26:59,18:27:53,,,18:43:18,18:36:44,18:37:53,,18:36:00,,18:35:11,,,18:29:39,,18:32:12,
113349695237570001,21:10:00,21:12:00,,21:27:00,,21:16:33,,,,21:22:01,21:22:37,,,,21:15:00,,21:16:07,,21:13:38,21:14:28,,21:20:30,,21:18:15
113349696237570001,07:45:00,07:47:00,,08:13:00,,07:54:43,,,,08:04:16,08:05:20,,,,07:52:00,,07:53:57,,07:49:43,07:51:07,,08:01:37,,07:57:42
113349697237570001,08:39:00,,08:35:00,,08:12:00,,08:27:31,08:19:11,08:20:16,,,08:38:18,08:30:55,08:32:22,,08:30:00,,08:29:01,,,08:22:23,,08:25:27,
113349699237570001,20:10:00,20:12:00,,20:28:00,,20:17:33,,,,20:23:01,20:23:37,,,,20:16:00,,20:17:07,,20:14:11,20:15:18,,20:21:30,,20:19:15
113349700237570001,17:26:00,,17:23:00,,17:02:00,,17:15:48,17:08:23,17:09:21,,,17:25:28,17:18:55,17:20:22,,17:18:00,,17:17:07,,,17:11:14,,17:13:57,
113349701237570001,17:41:00,17:43:00,,18:03:00,,17:49:57,,,,17:56:46,17:57:32,,,,17:48:00,,17:49:23,,17:45:43,17:47:07,,17:54:52,,17:52:04
113349702237570001,19:09:00,19:11:00,,19:29:00,,19:16:49,,,,19:23:11,19:23:54,,,,19:15:00,,19:16:18,,19:13:11,19:14:18,,19:21:24,,19:18:48
113349703237570001,20:03:00,,20:00:00,,19:42:00,,19:54:04,19:47:36,19:48:26,,,20:02:28,19:56:44,19:57:53,,19:56:00,,19:55:14,,,19:50:05,,19:52:28,
113349704237570001,09:09:00,09:11:00,,09:32:00,,09:17:12,,,,09:24:56,09:25:48,,,,09:15:00,,09:16:34,,09:13:11,09:14:18,,09:22:47,,09:19:37
113349710237570001,09:30:00,,09:27:00,,09:05:00,,09:19:40,09:11:47,09:12:48,,,09:29:28,09:22:55,09:24:22,,09:22:00,,09:21:04,,,09:14:48,,09:17:42,
113352753237580031,10:11:00,10:13:00,,10:33:00,,10:19:57,,,,10:26:46,10:27:32,,,,10:18:00,,10:19:23,,10:15:43,10:17:07,,10:24:52,,10:22:04
113352756237580031,13:43:00,,13:40:00,,13:20:00,,13:32:56,13:25:59,13:26:53,,,13:42:28,13:35:55,13:37:22,,13:35:00,,13:34:11,,,13:28:39,,13:31:12,
113352757237580031,12:48:00,12:50:00,,13:09:00,,12:56:49,,,,13:03:11,13:03:54,,,,12:55:00,,12:56:18,,12:52:43,12:54:07,,13:01:24,,12:58:48
113352758237580031,11:02:00,,10:59:00,,10:40:00,,10:52:04,10:45:36,10:46:26,,,11:01:28,10:54:55,10:56:22,,10:54:00,,10:53:14,,,10:48:05,,10:50:28,
113352759237580031,11:27:00,11:29:00,,11:48:00,,11:35:49,,,,11:42:11,11:42:54,,,,11:34:00,,11:35:18,,11:31:43,11:33:07,,11:40:24,,11:37:48
113352760237580031,12:22:00,,12:19:00,,12:00:00,,12:12:04,12:05:36,12:06:26,,,12:21:28,12:14:55,12:16:22,,12:14:00,,12:13:14,,,12:08:05,,12:10:28,
113352761237580031,14:09:00,14:11:00,,14:30:00,,14:17:49,,,,14:24:11,14:24:54,,,,14:16:00,,14:17:18,,14:13:43,14:15:07,,14:22:24,,14:19:48
113352764237580031,16:02:00,,15:59:00,,15:39:00,,15:51:56,15:44:59,15:45:53,,,16:01:28,15:54:55,15:56:22,,15:54:00,,15:53:11,,,15:47:39,,15:50:12,
113352765237580031,16:23:00,16:25:00,,16:47:00,,16:32:12,,,,16:39:56,16:40:48,,,,16:30:00,,16:31:34,,16:27:43,16:29:07,,16:37:47,,16:34:37
113352768237580031,13:25:00,,13:22:00,,13:02:00,,13:14:56,13:07:59,13:08:53,,,13:24:28,13:17:55,13:19:22,,13:17:00,,13:16:11,,,13:10:39,,13:13:12,
113352769237580031,13:50:00,13:52:00,,14:11:00,,13:58:49,,,,14:05:11,14:05:54,,,,13:57:00,,13:58:18,,13:54:43,13:56:07,,14:03:24,,14:00:48
113352772237580031,12:28:00,12:30:00,,12:49:00,,12:36:49,,,,12:43:11,12:43:54,,,,12:35:00,,12:36:18,,12:32:43,12:34:07,,12:41:24,,12:38:48
113352773237580031,15:07:00,15:09:00,,15:28:00,,15:15:49,,,,15:22:11,15:22:54,,,,15:14:00,,15:15:18,,15:11:43,15:13:07,,15:20:24,,15:17:48
113352774237580031,12:03:00,,12:00:00,,11:41:00,,11:53:04,11:46:36,11:47:26,,,12:02:28,11:55:55,11:57:22,,11:55:00,,11:54:14,,,11:49:05,,11:51:28,
113352775237580031,14:42:00,,14:39:00,,14:19:00,,14:31:56,14:24:59,14:25:53,,,14:41:28,14:34:55,14:36:22,,14:34:00,,14:33:11,,,14:27:39,,14:30:12,
113352793237580031,14:03:00,,14:00:00,,13:40:00,,13:52:56,13:45:59,13:46:53,,,14:02:28,13:55:55,13:57:22,,13:55:00,,13:54:11,,,13:48:39,,13:51:12,
113352797237580031,11:47:00,11:49:00,,12:08:00,,11:55:49,,,,12:02:11,12:02:54,,,,11:54:00,,11:55:18,,11:51:43,11:53:07,,12:00:24,,11:57:48
113352798237580031,10:28:00,10:30:00,,10:50:00,,10:36:57,,,,10:43:46,10:44:32,,,,10:35:00,,10:36:23,,10:32:43,10:34:07,,10:41:52,,10:39:04
113352799237580031,11:22:00,,11:19:00,,11:00:00,,11:12:04,11:05:36,11:06:26,,,11:21:28,11:14:55,11:16:22,,11:14:00,,11:13:14,,,11:08:05,,11:10:28,
113352806237580031,10:03:00,,10:00:00,,09:40:00,,09:52:56,09:45:59,09:46:53,,,10:02:28,09:55:55,09:57:22,,09:55:00,,09:54:11,,,09:48:39,,09:51:12,
113352807237580031,12:42:00,,12:39:00,,12:20:00,,12:32:04,12:25:36,12:26:26,,,12:41:28,12:34:55,12:36:22,,12:34:00,,12:33:14,,,12:28:05,,12:30:28,
113352808237580031,13:08:00,13:10:00,,13:29:00,,13:16:49,,,,13:23:11,13:23:54,,,,13:15:00,,13:16:18,,13:12:43,13:14:07,,13:21:24,,13:18:48
113352809237580031,14:28:00,14:30:00,,14:49:00,,14:36:49,,,,14:43:11,14:43:54,,,,14:35:00,,14:36:18,,14:32:43,14:34:07,,14:41:24,,14:38:48
113352816237580031,07:58:00,,07:55:00,,07:33:00,,07:47:40,07:39:47,07:40:48,,,07:57:28,07:50:55,07:52:22,,07:50:00,,07:49:04,,,07:42:48,,07:45:42,
113352821237580031,06:58:00,,06:55:00,,06:36:00,,06:48:56,06:41:59,06:42:53,,,06:57:28,06:51:44,06:52:53,,06:51:00,,06:50:11,,,06:44:39,,06:47:12,
113352824237580031,07:04:00,07:06:00,,07:26:00,,07:12:57,,,,07:19:46,07:20:32,,,,07:11:00,,07:12:23,,07:08:43,07:10:07,,07:17:52,,07:15:04
113352825237580031,08:26:00,08:28:00,,08:55:00,,08:35:51,,,,08:45:51,08:46:59,,,,08:33:00,,08:35:02,,08:30:43,08:32:07,,08:43:04,,08:38:58
113352827237580031,05:48:00,05:50:00,,06:04:00,,05:54:26,,,,05:59:26,05:59:59,,,,05:53:00,,05:54:01,,05:51:38,05:52:28,,05:58:02,,05:55:59
113352829237580031,09:52:00,09:54:00,,10:13:00,,09:59:57,,,,10:06:46,10:07:32,,,,09:58:00,,09:59:23,,09:56:11,09:57:18,,10:04:52,,10:02:04
113352831237580031,15:42:00,,15:39:00,,15:19:00,,15:31:56,15:24:59,15:25:53,,,15:41:28,15:34:55,15:36:22,,15:34:00,,15:33:11,,,15:27:39,,15:30:12,
113352833237580031,09:14:00,,09:11:00,,08:48:00,,09:03:31,08:55:11,08:56:16,,,09:13:28,09:06:55,09:08:22,,09:06:00,,09:05:01,,,08:58:23,,09:01:27,
113352835237580031,16:04:00,16:06:00,,16:28:00,,16:13:12,,,,16:20:56,16:21:48,,,,16:11:00,,16:12:34,,16:08:43,16:10:07,,16:18:47,,16:15:37
113352844237580031,06:14:00,06:16:00,,06:30:00,,06:20:26,,,,06:25:26,06:25:59,,,,06:19:00,,06:20:01,,06:17:38,06:18:28,,06:24:02,,06:21:59
113352845237580031,08:17:00,,08:14:00,,07:52:00,,08:06:40,07:58:47,07:59:48,,,08:16:28,08:09:55,08:11:22,,08:09:00,,08:08:04,,,08:01:48,,08:04:42,
113352846237580031,,,18:20:00,,18:01:00,,18:13:56,18:06:59,18:07:53,,,18:24:00,18:16:44,18:17:53,,18:16:00,,18:15:11,,,18:09:39,,18:12:12,
113352848237580031,08:48:00,08:50:00,,09:17:00,,08:57:51,,,,09:07:51,09:08:59,,,,08:55:00,,08:57:02,,08:52:43,08:54:07,,09:05:04,,09:00:58
113352852237580031,07:25:00,07:27:00,,07:51:00,,07:34:28,,,,07:43:06,07:44:04,,,,07:32:00,,07:33:46,,07:29:43,07:31:07,,07:40:42,,07:37:09
113352854237580031,17:04:00,,17:01:00,,16:40:00,,16:53:48,16:46:23,16:47:21,,,17:03:28,16:56:55,16:58:22,,16:56:00,,16:55:07,,,16:49:14,,16:51:57,
113352855237580031,07:17:00,,07:14:00,,06:55:00,,07:07:56,07:00:59,07:01:53,,,07:16:28,07:10:44,07:11:53,,07:10:00,,07:09:11,,,07:03:39,,07:06:12,
113352857237580031,17:21:00,17:23:00,,17:44:00,,17:30:04,,,,17:37:21,17:38:10,,,,17:28:00,,17:29:29,,17:25:43,17:27:07,,17:35:19,,17:32:20
113352858237580031,16:43:00,,16:40:00,,16:19:00,,16:32:48,16:25:23,16:26:21,,,16:42:28,16:35:55,16:37:22,,16:35:00,,16:34:07,,,16:28:14,,16:30:57,
113352859237580031,19:33:00,,19:30:00,,19:12:00,,19:24:04,19:17:36,19:18:26,,,19:32:28,19:26:44,19:27:53,,19:26:00,,19:25:14,,,19:20:05,,19:22:28,
113352861237580031,15:21:00,,15:18:00,,14:58:00,,15:10:56,15:03:59,15:04:53,,,15:20:28,15:13:55,15:15:22,,15:13:00,,15:12:11,,,15:06:39,,15:09:12,
113352863237580031,18:06:00,,18:02:00,,17:42:00,,17:55:48,17:48:23,17:49:21,,,18:05:18,17:58:44,17:59:53,,17:58:00,,17:57:07,,,17:51:14,,17:53:57,
113352864237580031,07:36:00,,07:33:00,,07:13:00,,07:26:48,07:19:23,07:20:21,,,07:35:28,07:29:44,07:30:53,,07:29:00,,07:28:07,,,07:22:14,,07:24:57,
113352866237580031,18:39:00,18:41:00,,19:00:00,,18:47:49,,,,18:54:11,18:54:54,,,,18:46:00,,18:47:18,,18:43:43,18:45:07,,18:52:24,,18:49:48
113352867237580031,06:39:00,06:41:00,,06:58:00,,06:46:41,,,,06:52:36,06:53:16,,,,06:45:00,,06:46:12,,06:43:11,06:44:18,,06:50:57,,06:48:31
113352869237580031,,,22:27:00,,22:12:00,,22:22:21,22:16:48,22:17:31,,,22:30:00,22:24:33,22:25:25,,22:24:00,,22:23:21,,,22:18:55,,22:20:58,
113352872237580031,15:46:00,15:48:00,,16:07:00,,15:54:49,,,,16:01:11,16:01:54,,,,15:53:00,,15:54:18,,15:50:43,15:52:07,,15:59:24,,15:56:48
113352874237580031,17:00:00,17:02:00,,17:24:00,,17:09:12,,,,17:16:56,17:17:48,,,,17:07:00,,17:08:34,,17:04:43,17:06:07,,17:14:47,,17:11:37
113352875237580031,19:40:00,19:42:00,,19:59:00,,19:47:41,,,,19:53:36,19:54:16,,,,19:46:00,,19:47:12,,19:44:11,19:45:18,,19:51:57,,19:49:31
113352876237580031,20:32:00,,20:29:00,,20:12:00,,20:23:13,20:17:12,20:17:58,,,20:31:28,20:25:44,20:26:53,,20:25:00,,20:24:17,,,20:19:30,,20:21:43,
113352877237580031,20:39:00,20:41:00,,20:56:00,,20:45:33,,,,20:51:01,20:51:37,,,,20:44:00,,20:45:07,,20:42:38,20:43:28,,20:49:30,,20:47:15
113352878237580031,21:30:00,,21:27:00,,21:12:00,,21:22:21,21:16:48,21:17:31,,,21:29:28,21:24:33,21:25:25,,21:24:00,,21:23:21,,,21:18:55,,21:20:58,
113352879237580031,21:40:00,21:42:00,,21:57:00,,21:46:33,,,,21:52:01,21:52:37,,,,21:45:00,,21:46:07,,21:43:38,21:44:28,,21:50:30,,21:48:15
113352881237580031,15:26:00,15:28:00,,15:47:00,,15:34:49,,,,15:41:11,15:41:54,,,,15:33:00,,15:34:18,,15:30:43,15:32:07,,15:39:24,,15:36:48
