trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354306237585601,,07:58:00,08:18:00,,,08:14:34,,07:56:00,07:55:00,08:11:01,,,,,,,,,07:59:19,08:00:05,08:01:00,08:01:51,08:04:35,08:05:51,08:06:55,08:08:36,08:10:11,08:03:00,,,08:12:00,,,08:03:34,
113354307237585601,18:00:00,,17:37:00,17:40:25,17:39:11,,18:02:00,,18:03:00,,17:45:48,17:47:41,17:49:15,17:50:21,17:54:28,17:56:56,17:56:00,17:58:04,,,,,,,,,,,17:53:00,17:42:00,,17:43:53,17:52:12,,
113354308237585601,13:57:00,,13:35:00,13:38:25,13:37:11,,13:59:00,,14:00:00,,13:43:27,13:45:10,13:46:36,13:47:36,13:51:28,13:53:56,13:53:00,13:55:04,,,,,,,,,,,13:50:00,13:40:00,,13:41:43,13:49:17,,
113354309237585601,13:17:00,,12:55:00,12:58:25,12:57:11,,13:19:00,,13:20:00,,13:03:27,13:05:10,13:06:36,13:07:36,13:11:28,13:13:56,13:13:00,13:15:04,,,,,,,,,,,13:10:00,13:00:00,,13:01:43,13:09:17,,
113354310237585601,17:20:00,,16:57:00,17:00:25,16:59:11,,17:22:00,,17:23:00,,17:05:48,17:07:41,17:09:15,17:10:21,17:14:28,17:16:56,17:16:00,17:18:04,,,,,,,,,,,17:13:00,17:02:00,,17:03:53,17:12:12,,
113354311237585601,16:59:00,,16:37:00,16:40:25,16:39:11,,17:01:00,,17:02:00,,16:45:27,16:47:10,16:48:36,16:49:36,16:53:28,16:55:56,16:55:00,16:57:04,,,,,,,,,,,16:52:00,16:42:00,,16:43:43,16:51:17,,
113354312237585601,16:39:00,,16:17:00,16:20:25,16:19:11,,16:41:00,,16:42:00,,16:25:27,16:27:10,16:28:36,16:29:36,16:33:28,16:35:56,16:35:00,16:37:04,,,,,,,,,,,16:32:00,16:22:00,,16:23:43,16:31:17,,
113354313237585601,12:57:00,,12:35:00,12:38:25,12:37:11,,12:59:00,,13:00:00,,12:43:27,12:45:10,12:46:36,12:47:36,12:51:28,12:53:56,12:53:00,12:55:04,,,,,,,,,,,12:50:00,12:40:00,,12:41:43,12:49:17,,
113354314237585601,13:37:00,,13:15:00,13:18:25,13:17:11,,13:39:00,,13:40:00,,13:23:27,13:25:10,13:26:36,13:27:36,13:31:28,13:33:56,13:33:00,13:35:04,,,,,,,,,,,13:30:00,13:20:00,,13:21:43,13:29:17,,
113354315237585601,16:19:00,,15:57:00,16:00:25,15:59:11,,16:21:00,,16:22:00,,16:05:27,16:07:10,16:08:36,16:09:36,16:13:28,16:15:56,16:15:00,16:17:04,,,,,,,,,,,16:12:00,16:02:00,,16:03:43,16:11:17,,
