trip_id,1229,1231,1232,1239,1240,1411,1413,1414,1790,2604,2608,2663,2667,2669,2735,2736,5101B,5111B,5121,5721,7360,7903
113713553239004002,12:41:14,12:42:16,,12:43:38,,12:50:00,,,,12:44:33,12:52:56,,,,,,12:39:24,,12:45:38,12:54:00,12:39:00,
113713554239004002,,,15:09:21,,15:07:44,,14:59:00,15:04:37,14:55:00,,,14:56:00,15:06:20,14:57:03,15:11:11,15:12:40,,15:16:39,,,15:18:00,15:14:20
113713607239004002,13:51:14,13:52:16,,13:53:38,,14:00:00,,,,13:54:33,14:02:56,,,,,,13:49:24,,13:55:38,14:04:00,13:49:00,
113713608239004002,14:51:14,14:52:16,,14:53:38,,15:00:00,,,,14:54:33,15:04:23,,,,,,14:49:24,,14:55:38,15:06:00,14:49:00,
113713609239004002,13:46:14,13:47:16,,13:48:38,,13:55:00,,,,13:49:33,13:57:56,,,,,,13:44:24,,13:50:38,13:59:00,13:44:00,
113713610239004002,13:56:14,13:57:16,,13:58:38,,14:05:00,,,,13:59:33,14:07:56,,,,,,13:54:24,,14:00:38,14:09:00,13:54:00,
113713611239004002,14:01:14,14:02:16,,14:03:38,,14:10:00,,,,14:04:33,14:12:56,,,,,,13:59:24,,14:05:38,14:14:00,13:59:00,
113713612239004002,14:41:14,14:42:16,,14:43:38,,14:50:00,,,,14:44:33,14:52:56,,,,,,14:39:24,,14:45:38,14:54:00,14:39:00,
113713613239004002,14:46:14,14:47:16,,14:48:38,,14:55:00,,,,14:49:33,14:57:56,,,,,,14:44:24,,14:50:38,14:59:00,14:44:00,
113713614239004002,16:09:26,16:10:34,,16:12:03,,16:19:00,,,,16:13:04,16:22:39,,,,,,16:07:26,,16:14:14,16:24:00,16:07:00,
113713615239004002,16:14:26,16:15:34,,16:17:03,,16:24:00,,,,16:18:04,16:27:39,,,,,,16:12:26,,16:19:14,16:29:00,16:12:00,
113713616239004002,15:54:26,15:55:34,,15:57:03,,16:04:00,,,,15:58:04,16:07:39,,,,,,15:52:26,,15:59:14,16:09:00,15:52:00,
113713617239004002,15:24:26,15:25:34,,15:27:03,,15:34:00,,,,15:28:04,15:38:23,,,,,,15:22:26,,15:29:14,15:40:00,15:22:00,
113713618239004002,15:38:26,15:39:34,,15:41:03,,15:48:00,,,,15:42:04,15:52:23,,,,,,15:36:26,,15:43:14,15:54:00,15:36:00,
113713619239004002,14:55:14,14:56:16,,14:57:38,,15:04:00,,,,14:58:33,15:08:23,,,,,,14:53:24,,14:59:38,15:10:00,14:53:00,
113713620239004002,15:28:26,15:29:34,,15:31:03,,15:38:00,,,,15:32:04,15:42:23,,,,,,15:26:26,,15:33:14,15:44:00,15:26:00,
113713621239004002,15:33:26,15:34:34,,15:36:03,,15:43:00,,,,15:37:04,15:47:23,,,,,,15:31:26,,15:38:14,15:49:00,15:31:00,
113713622239004002,15:48:26,15:49:34,,15:51:03,,15:58:00,,,,15:52:04,16:02:23,,,,,,15:46:26,,15:53:14,16:04:00,15:46:00,
113713623239004002,15:43:26,15:44:34,,15:46:03,,15:53:00,,,,15:47:04,15:57:23,,,,,,15:41:26,,15:48:14,15:59:00,15:41:00,
113713624239004002,16:04:26,16:05:34,,16:07:03,,16:14:00,,,,16:08:04,16:17:39,,,,,,16:02:26,,16:09:14,16:19:00,16:02:00,
113713625239004002,16:54:26,16:55:34,,16:57:03,,17:04:00,,,,16:58:04,17:07:39,,,,,,16:52:26,,16:59:14,17:09:00,16:52:00,
113713626239004002,17:39:26,17:40:34,,17:42:03,,17:49:00,,,,17:43:04,17:52:39,,,,,,17:37:26,,17:44:14,17:54:00,17:37:00,
113713627239004002,17:04:26,17:05:34,,17:07:03,,17:14:00,,,,17:08:04,17:17:39,,,,,,17:02:26,,17:09:14,17:19:00,17:02:00,
113713628239004002,16:19:26,16:20:34,,16:22:03,,16:29:00,,,,16:23:04,16:32:39,,,,,,16:17:26,,16:24:14,16:34:00,16:17:00,
113713629239004002,17:34:26,17:35:34,,17:37:03,,17:44:00,,,,17:38:04,17:47:39,,,,,,17:32:26,,17:39:14,17:49:00,17:32:00,
113713630239004002,17:09:26,17:10:34,,17:12:03,,17:19:00,,,,17:13:04,17:22:39,,,,,,17:07:26,,17:14:14,17:24:00,17:07:00,
113713631239004002,17:29:26,17:30:34,,17:32:03,,17:39:00,,,,17:33:04,17:42:39,,,,,,17:27:26,,17:34:14,17:44:00,17:27:00,
113713632239004002,16:24:26,16:25:34,,16:27:03,,16:34:00,,,,16:28:04,16:37:39,,,,,,16:22:26,,16:29:14,16:39:00,16:22:00,
113713633239004002,16:39:26,16:40:34,,16:42:03,,16:49:00,,,,16:43:04,16:52:39,,,,,,16:37:26,,16:44:14,16:54:00,16:37:00,
113713634239004002,17:14:26,17:15:34,,17:17:03,,17:24:00,,,,17:18:04,17:27:39,,,,,,17:12:26,,17:19:14,17:29:00,17:12:00,
113713635239004002,16:29:26,16:30:34,,16:32:03,,16:39:00,,,,16:33:04,16:42:39,,,,,,16:27:26,,16:34:14,16:44:00,16:27:00,
113713636239004002,16:44:26,16:45:34,,16:47:03,,16:54:00,,,,16:48:04,16:57:39,,,,,,16:42:26,,16:49:14,16:59:00,16:42:00,
