trip_id,1015,1085,2225,2226,2252,2414,2415,2416,2417,2452,2453,2523,2550,2551,2555,2556,2598,2599,2600,2601,2602,2605,2606,2607,2612,2614,2616B,2617,2618,2619,2620,2621,2622,2623,2624,2625,2631,2632,2732,2939B,2952B,3046,3074,3681,3682,3856,5152,5161,5719,5915
113163858236916001,,09:17:00,,,09:24:47,,,,09:06:00,09:07:15,09:08:38,,09:23:19,09:18:43,,09:19:55,,,,,,,,,,,09:11:00,09:26:00,09:26:48,09:27:32,09:28:21,09:29:35,09:30:16,09:31:29,09:32:17,09:34:00,,09:09:44,,09:12:07,,09:35:36,09:38:00,09:21:00,,,09:13:24,09:13:57,,
113163859236916001,,07:51:00,,,07:59:47,,,,07:40:00,07:41:15,07:42:38,,07:58:19,07:53:09,,07:54:39,,,,,,,,,,,07:45:00,08:01:00,08:01:48,08:02:32,08:03:21,08:04:35,08:05:16,08:06:29,08:07:17,08:09:00,,07:43:44,,07:46:07,,08:10:36,08:13:00,07:56:00,,,07:47:24,07:47:57,,
113163860236916001,,08:38:00,,,08:47:32,,,,08:26:00,08:27:30,08:29:09,,08:45:47,08:40:09,,08:41:39,,,,,,,,,,,08:32:00,08:49:00,08:49:48,08:50:32,08:51:21,08:52:35,08:53:16,08:54:29,08:55:17,08:57:00,,08:30:28,,08:33:07,,08:58:36,09:01:00,08:43:00,,,08:34:24,08:34:57,,
113163861236916001,,07:29:00,,,07:36:02,,,,07:18:00,07:19:15,07:20:38,,07:34:51,07:30:43,,07:31:55,,,,,,,,,,,07:23:00,07:37:00,07:37:48,07:38:32,07:39:21,07:40:35,07:41:16,07:42:29,07:43:17,07:45:00,,07:21:44,,07:24:07,,07:46:36,07:49:00,07:33:00,,,07:25:24,07:25:57,,
113163862236916001,,09:32:00,,,09:39:47,,,,09:21:00,09:22:15,09:23:38,,09:38:19,09:33:43,,09:34:55,,,,,,,,,,,09:26:00,09:41:00,09:41:48,09:42:32,09:43:21,09:44:35,09:45:16,09:46:29,09:47:17,09:49:00,,09:24:44,,09:27:07,,09:50:36,09:53:00,09:36:00,,,09:28:24,09:28:57,,
113163863236916001,,10:03:00,,,10:10:47,,,,09:52:00,09:53:15,09:54:38,,10:09:19,10:04:43,,10:05:55,,,,,,,,,,,09:57:00,10:12:00,10:12:42,10:13:21,10:14:03,10:15:08,10:15:44,10:16:48,10:17:30,10:19:00,,09:55:44,,09:58:07,,10:20:36,10:23:00,10:07:00,,,09:59:24,09:59:57,,
113163864236916001,,09:04:00,,,09:11:47,,,,08:52:00,08:53:30,08:55:09,,09:10:19,09:05:43,,09:06:55,,,,,,,,,,,08:58:00,09:13:00,09:13:48,09:14:32,09:15:21,09:16:35,09:17:16,09:18:29,09:19:17,09:21:00,,08:56:28,,08:59:07,,09:22:36,09:25:00,09:08:00,,,09:00:24,09:00:57,,
113163865236916001,,08:13:00,,,08:22:32,,,,08:01:00,08:02:30,08:04:09,,08:20:47,08:15:09,,08:16:39,,,,,,,,,,,08:07:00,08:24:00,08:24:54,08:25:44,08:26:39,08:28:01,08:28:48,08:30:11,08:31:04,08:33:00,,08:05:28,,08:08:07,,08:34:36,08:37:00,08:18:00,,,08:09:24,08:09:57,,
113163866236916001,,07:40:00,,,07:47:47,,,,07:29:00,07:30:15,07:31:38,,07:46:19,07:41:43,,07:42:55,,,,,,,,,,,07:34:00,07:49:00,07:49:48,07:50:32,07:51:21,07:52:35,07:53:16,07:54:29,07:55:17,07:57:00,,07:32:44,,07:35:07,,07:58:36,08:01:00,07:44:00,,,07:36:24,07:36:57,,
113163867236916001,,09:47:00,,,09:54:47,,,,09:36:00,09:37:15,09:38:38,,09:53:19,09:48:43,,09:49:55,,,,,,,,,,,09:41:00,09:56:00,09:56:48,09:57:32,09:58:21,09:59:35,10:00:16,10:01:29,10:02:17,10:04:00,,09:39:44,,09:42:07,,10:05:36,10:08:00,09:51:00,,,09:43:24,09:43:57,,
