trip_id,1030,1083,1904,2088,2089,2207,2237,2238,2239,2269,2271,2587,2831,2898,5740,5741,5742B,5760,5761,5905,5906,5908,5910,5911B,5913,5958C,5959,5961,5965,5967,5968,6123,6459,6461,9025,9751,9753,9754B,9755,9756,9776,9777,9778,9779,9780
113365111237620601,,21:28:00,21:29:52,,21:25:12,21:26:00,,,,,,,21:31:00,,21:20:00,21:21:06,21:22:12,,21:16:24,21:10:00,21:10:32,21:11:46,21:12:58,21:15:00,21:13:58,,,,,,,21:23:48,,21:19:00,21:27:00,21:05:00,21:06:00,21:07:24,21:08:16,21:09:15,,,,,
113365112237620601,,05:54:00,05:56:30,,05:51:27,05:52:08,,,,,,,05:58:00,,05:47:00,05:47:57,05:48:53,,05:43:24,05:37:00,05:37:32,05:38:46,05:39:58,05:42:00,05:40:58,,,,,,,05:50:15,,05:46:00,05:53:00,05:32:00,05:33:00,05:34:24,05:35:16,05:36:15,,,,,
113365113237620601,,22:08:00,22:09:52,,22:05:12,22:06:00,,,,,,,22:11:00,,22:00:00,22:01:06,22:02:12,,21:56:24,21:50:00,21:50:32,21:51:46,21:52:58,21:55:00,21:53:58,,,,,,,22:03:48,,21:59:00,22:07:00,21:45:00,21:46:00,21:47:24,21:48:16,21:49:15,,,,,
113365114237620601,,21:48:00,21:49:52,,21:45:12,21:46:00,,,,,,,21:51:00,,21:40:00,21:41:06,21:42:12,,21:36:24,21:30:00,21:30:32,21:31:46,21:32:58,21:35:00,21:33:58,,,,,,,21:43:48,,21:39:00,21:47:00,21:25:00,21:26:00,21:27:24,21:28:16,21:29:15,,,,,
113365115237620601,17:25:00,,,17:28:42,,,17:30:58,17:32:43,17:34:03,17:22:22,17:27:28,17:23:11,17:21:00,17:36:00,,,,17:39:12,,,,,,,,17:41:00,17:42:46,17:44:12,17:41:52,17:45:29,17:46:00,,17:37:00,,,17:54:00,,,,,17:46:59,17:48:30,17:49:34,17:51:00,17:52:46
113365116237620601,19:45:00,,,19:48:22,,,19:50:25,19:52:01,19:53:13,19:42:22,19:47:14,19:43:11,19:41:00,19:55:00,,,,19:58:12,,,,,,,,20:00:00,20:01:46,20:03:12,20:00:52,20:04:29,20:05:00,,19:56:00,,,20:12:00,,,,,20:05:47,20:07:00,20:07:51,20:09:00,20:10:46
113365118237620601,11:09:00,,,11:12:02,,,11:13:53,11:15:19,11:16:24,11:06:22,11:11:01,11:07:11,11:05:00,11:18:00,,,,,,,,,,,,,,,,,,,11:19:00,,,,,,,,,,,,
113365119237620601,06:34:00,,,06:36:22,,,06:37:48,06:38:55,06:39:45,06:31:22,06:35:34,06:32:11,06:30:00,06:41:00,,,,06:43:39,,,,,,,,06:45:00,06:46:46,06:48:12,06:45:52,06:49:29,06:50:00,,06:42:00,,,06:57:00,,,,,06:50:47,06:52:00,06:52:51,06:54:00,06:55:46
113365120237620601,06:04:00,,,06:06:22,,,06:07:48,06:08:55,06:09:45,06:01:22,06:05:34,06:02:11,06:00:00,06:11:00,,,,06:13:39,,,,,,,,06:15:00,06:16:46,06:18:12,06:15:52,06:19:29,06:20:00,,06:12:00,,,06:27:00,,,,,06:20:47,06:22:00,06:22:51,06:24:00,06:25:46
113365121237620601,07:05:00,,,07:07:22,,,07:08:48,07:09:55,07:10:45,07:02:22,07:06:34,07:03:11,07:01:00,07:12:00,,,,07:14:39,,,,,,,,07:16:00,07:17:46,07:19:12,07:16:52,07:20:29,07:21:00,,07:13:00,,,07:28:00,,,,,07:21:47,07:23:00,07:23:51,07:25:00,07:26:46
113365122237620601,08:05:00,,,08:07:22,,,08:08:48,08:09:55,08:10:45,08:02:22,08:06:34,08:03:11,08:01:00,08:12:00,,,,08:14:39,,,,,,,,08:16:00,08:17:46,08:19:12,08:16:52,08:20:29,08:21:00,,08:13:00,,,08:28:00,,,,,08:21:47,08:23:00,08:23:51,08:25:00,08:26:46
113365124237620601,07:35:00,,,07:37:22,,,07:38:48,07:39:55,07:40:45,07:32:22,07:36:34,07:33:11,07:31:00,07:42:00,,,,07:44:39,,,,,,,,07:46:00,07:47:46,07:49:12,07:46:52,07:50:29,07:51:00,,07:43:00,,,07:58:00,,,,,07:51:47,07:53:00,07:53:51,07:55:00,07:56:46
