trip_id,1585,1586,1587,1601,1602,1605,1614B,1615,1617,1620B,1627,1629,1631,1638B,1639,1640B,1656B,1657,1659,1660B,1668,1669,1673,2424,2425,2911,2913,9164
113302339237401500,,,,06:52:08,06:58:31,06:56:30,06:54:33,06:55:22,06:57:35,06:59:30,07:00:25,07:02:00,,06:51:00,,,,,,,,,,06:53:00,,,,07:01:18
113302340237401500,,,,07:26:08,07:32:31,07:30:30,07:28:33,07:29:22,07:31:35,07:33:30,07:34:25,07:36:00,,07:25:00,,,,,,,,,,07:27:00,,,,07:35:18
113302341237401500,,,,08:00:08,08:06:31,08:04:30,08:02:33,08:03:22,08:05:35,08:07:30,08:08:25,08:10:00,,07:59:00,,,,,,,,,,08:01:00,,,,08:09:18
113302342237401500,,,,08:28:08,08:34:31,08:32:30,08:30:33,08:31:22,08:33:35,08:35:30,08:36:25,08:38:00,,08:27:00,,,,,,,,,,08:29:00,,,,08:37:18
113302343237401500,,,,09:10:08,09:17:07,09:14:54,09:12:43,09:13:38,09:16:06,09:18:13,09:19:14,09:21:00,,09:09:00,,,,,,,,,,09:11:00,,,,09:20:13
113302344237401500,,,,09:30:08,09:37:07,09:34:54,09:32:43,09:33:38,09:36:06,09:38:13,09:39:14,09:41:00,,09:29:00,,,,,,,,,,09:31:00,,,,09:40:13
113302345237401500,,,,09:50:08,09:57:07,09:54:54,09:52:43,09:53:38,09:56:06,09:58:13,09:59:14,10:01:00,,09:49:00,,,,,,,,,,09:51:00,,,,10:00:13
113302346237401500,,,,10:10:08,10:17:07,10:14:54,10:12:43,10:13:38,10:16:06,10:18:13,10:19:14,10:21:00,,10:09:00,,,,,,,,,,10:11:00,,,,10:20:13
113302347237401500,,,,10:30:08,10:37:07,10:34:54,10:32:43,10:33:38,10:36:06,10:38:13,10:39:14,10:41:00,,10:29:00,,,,,,,,,,10:31:00,,,,10:40:13
113302348237401500,,,,10:50:08,10:57:07,10:54:54,10:52:43,10:53:38,10:56:06,10:58:13,10:59:14,11:01:00,,10:49:00,,,,,,,,,,10:51:00,,,,11:00:13
113302349237401500,,,,11:10:08,11:17:07,11:14:54,11:12:43,11:13:38,11:16:06,11:18:13,11:19:14,11:21:00,,11:09:00,,,,,,,,,,11:11:00,,,,11:20:13
113302350237401500,,,,11:30:08,11:37:07,11:34:54,11:32:43,11:33:38,11:36:06,11:38:13,11:39:14,11:41:00,,11:29:00,,,,,,,,,,11:31:00,,,,11:40:13
113302351237401500,,,,11:50:08,11:57:07,11:54:54,11:52:43,11:53:38,11:56:06,11:58:13,11:59:14,12:01:00,,11:49:00,,,,,,,,,,11:51:00,,,,12:00:13
113302352237401500,,,,12:10:42,12:18:07,12:15:54,12:13:43,12:14:38,12:17:06,12:19:13,12:20:14,12:22:00,,12:09:00,,,,,,,,,,12:12:00,,,,12:21:13
113302353237401500,,,,12:30:42,12:38:07,12:35:54,12:33:43,12:34:38,12:37:06,12:39:13,12:40:14,12:42:00,,12:29:00,,,,,,,,,,12:32:00,,,,12:41:13
113302354237401500,,,,12:50:42,12:58:07,12:55:54,12:53:43,12:54:38,12:57:06,12:59:13,13:00:14,13:02:00,,12:49:00,,,,,,,,,,12:52:00,,,,13:01:13
113302355237401500,,,,13:10:42,13:18:07,13:15:54,13:13:43,13:14:38,13:17:06,13:19:13,13:20:14,13:22:00,,13:09:00,,,,,,,,,,13:12:00,,,,13:21:13
113302356237401500,,,,13:30:42,13:38:07,13:35:54,13:33:43,13:34:38,13:37:06,13:39:13,13:40:14,13:42:00,,13:29:00,,,,,,,,,,13:32:00,,,,13:41:13
113302357237401500,,,,13:50:42,13:58:07,13:55:54,13:53:43,13:54:38,13:57:06,13:59:13,14:00:14,14:02:00,,13:49:00,,,,,,,,,,13:52:00,,,,14:01:13
113302358237401500,,,,14:10:42,14:18:07,14:15:54,14:13:43,14:14:38,14:17:06,14:19:13,14:20:14,14:22:00,,14:09:00,,,,,,,,,,14:12:00,,,,14:21:13
113302359237401500,,,,14:30:42,14:38:07,14:35:54,14:33:43,14:34:38,14:37:06,14:39:13,14:40:14,14:42:00,,14:29:00,,,,,,,,,,14:32:00,,,,14:41:13
113302360237401500,,,,14:50:42,14:58:07,14:55:54,14:53:43,14:54:38,14:57:06,14:59:13,15:00:14,15:02:00,,14:49:00,,,,,,,,,,14:52:00,,,,15:01:13
113302361237401500,,,,15:10:42,15:18:07,15:15:54,15:13:43,15:14:38,15:17:06,15:19:13,15:20:14,15:22:00,,15:09:00,,,,,,,,,,15:12:00,,,,15:21:13
113302362237401500,,,,15:30:42,15:38:07,15:35:54,15:33:43,15:34:38,15:37:06,15:39:13,15:40:14,15:42:00,,15:29:00,,,,,,,,,,15:32:00,,,,15:41:13
113302363237401500,,,,15:50:42,15:58:07,15:55:54,15:53:43,15:54:38,15:57:06,15:59:13,16:00:14,16:02:00,,15:49:00,,,,,,,,,,15:52:00,,,,16:01:13
113302364237401500,,,,16:10:42,16:18:07,16:15:54,16:13:43,16:14:38,16:17:06,16:19:13,16:20:14,16:22:00,,16:09:00,,,,,,,,,,16:12:00,,,,16:21:13
113302365237401500,,,,16:30:42,16:38:07,16:35:54,16:33:43,16:34:38,16:37:06,16:39:13,16:40:14,16:42:00,,16:29:00,,,,,,,,,,16:32:00,,,,16:41:13
