trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113478976238199501,12:58:00,,,,13:02:00,12:48:07,,12:45:52,,,12:45:00,,,,,,,12:50:00,12:54:00,12:52:19,,,,12:56:00,,12:51:18,,12:59:39
113478977238199501,13:28:00,,,,13:32:00,13:18:07,,13:15:52,,,13:15:00,,,,,,,13:20:00,13:24:00,13:22:19,,,,13:26:00,,13:21:18,,13:29:39
113478978238199501,13:43:00,,,,13:47:00,13:33:07,,13:30:52,,,13:30:00,,,,,,,13:35:00,13:39:00,13:37:19,,,,13:41:00,,13:36:18,,13:44:39
113478979238199501,13:13:00,,,,13:17:00,13:03:07,,13:00:52,,,13:00:00,,,,,,,13:05:00,13:09:00,13:07:19,,,,13:11:00,,13:06:18,,13:14:39
113478980238199501,13:58:00,,,,14:02:00,13:48:07,,13:45:52,,,13:45:00,,,,,,,13:50:00,13:54:00,13:52:19,,,,13:56:00,,13:51:18,,13:59:39
113478981238199501,11:13:00,,,,11:17:00,11:03:07,,11:00:52,,,11:00:00,,,,,,,11:05:00,11:09:00,11:07:19,,,,11:11:00,,11:06:18,,11:14:39
113478982238199501,14:28:00,,,,14:32:00,14:18:07,,14:15:52,,,14:15:00,,,,,,,14:20:00,14:24:00,14:22:19,,,,14:26:00,,14:21:18,,14:29:39
113478983238199501,14:43:00,,,,14:47:00,14:33:07,,14:30:52,,,14:30:00,,,,,,,14:35:00,14:39:00,14:37:19,,,,14:41:00,,14:36:18,,14:44:39
113478984238199501,14:58:00,,,,15:02:00,14:48:07,,14:45:52,,,14:45:00,,,,,,,14:50:00,14:54:00,14:52:19,,,,14:56:00,,14:51:18,,14:59:39
113478985238199501,15:13:00,,,,15:17:00,15:03:07,,15:00:52,,,15:00:00,,,,,,,15:05:00,15:09:00,15:07:19,,,,15:11:00,,15:06:18,,15:14:39
113478986238199501,15:43:00,,,,15:47:00,15:33:07,,15:30:52,,,15:30:00,,,,,,,15:35:00,15:39:00,15:37:19,,,,15:41:00,,15:36:18,,15:44:39
113478987238199501,15:58:00,,,,16:02:00,15:48:07,,15:45:52,,,15:45:00,,,,,,,15:50:00,15:54:00,15:52:19,,,,15:56:00,,15:51:18,,15:59:39
113478999238199501,,05:03:00,,04:58:00,,,05:12:33,,05:15:00,,,05:14:19,,05:00:00,05:11:00,,,,,,05:09:18,05:07:43,05:06:00,,05:04:00,,05:01:39,
113479000238199501,04:52:00,,,,,,,,,,,,,,,,,04:45:00,04:48:00,04:46:45,,,,04:50:00,,04:45:58,,
113479006238199501,,24:35:00,,,,,,,,,,,,24:32:00,,24:43:00,,,,,24:41:32,24:39:51,24:38:00,,24:36:00,,24:33:39,
113479007238199501,20:00:00,,,,20:04:00,19:50:07,,19:47:52,,,19:47:00,,,,,,,19:52:00,19:56:00,19:54:19,,,,19:58:00,,19:53:18,,20:01:39
113479008238199501,20:17:00,,,,20:21:00,20:07:07,,20:04:52,,,20:04:00,,,,,,,20:09:00,20:13:00,20:11:19,,,,20:15:00,,20:10:18,,20:18:39
113479009238199501,,20:08:00,,,,,20:17:57,,20:21:00,,,20:20:09,,20:05:00,20:16:00,,,,,,20:14:18,20:12:43,20:11:00,,20:09:00,,20:06:39,
113479010238199501,20:34:00,,,,20:38:00,20:24:07,,20:21:52,,,20:21:00,,,,,,,20:26:00,20:30:00,20:28:19,,,,20:32:00,,20:27:18,,20:35:39
113479011238199501,,20:25:00,,,,,20:34:57,,20:38:00,,,20:37:09,,20:22:00,20:33:00,,,,,,20:31:18,20:29:43,20:28:00,,20:26:00,,20:23:39,
113479012238199501,20:54:00,,,,20:58:00,20:44:07,,20:41:52,,,20:41:00,,,,,,,20:46:00,20:50:00,20:48:19,,,,20:52:00,,20:47:18,,20:55:39
113479013238199501,,20:42:00,,,,,20:51:57,,20:55:00,,,20:54:09,,20:39:00,20:50:00,,,,,,20:48:18,20:46:43,20:45:00,,20:43:00,,20:40:39,
113479014238199501,,21:02:00,,,,,21:11:33,,21:14:00,,,21:13:19,,20:59:00,21:10:00,,,,,,21:08:18,21:06:43,21:05:00,,21:03:00,,21:00:39,
113479015238199501,21:13:00,,,,21:17:00,21:04:07,,21:01:52,,,21:01:00,,,,,,,21:06:00,21:09:00,21:07:45,,,,21:11:00,,21:06:58,,21:14:39
113479016238199501,21:33:00,,,,21:37:00,21:24:07,,21:21:52,,,21:21:00,,,,,,,21:26:00,21:29:00,21:27:45,,,,21:31:00,,21:26:58,,21:34:39
113479017238199501,,21:21:00,,,,,21:30:33,,21:33:00,,,21:32:19,,21:18:00,21:29:00,,,,,,21:27:18,21:25:43,21:24:00,,21:22:00,,21:19:39,
113479018238199501,21:53:00,,,,21:57:00,21:44:07,,21:41:52,,,21:41:00,,,,,,,21:46:00,21:49:00,21:47:45,,,,21:51:00,,21:46:58,,21:54:39
113479019238199501,,21:41:00,,,,,21:50:33,,21:53:00,,,21:52:19,,21:38:00,21:49:00,,,,,,21:47:18,21:45:43,21:44:00,,21:42:00,,21:39:39,
113479020238199501,,22:01:00,,,,,22:10:33,,22:13:00,,,22:12:19,,21:58:00,22:09:00,,,,,,22:07:18,22:05:43,22:04:00,,22:02:00,,21:59:39,
113479021238199501,22:13:00,,,,22:17:00,22:04:07,,22:01:52,,,22:01:00,,,,,,,22:06:00,22:09:00,22:07:45,,,,22:11:00,,22:06:58,,22:14:39
113479022238199501,,22:21:00,,,,,22:30:33,,22:33:00,,,22:32:19,,22:18:00,22:29:00,,,,,,22:27:18,22:25:43,22:24:00,,22:22:00,,22:19:39,
113479023238199501,22:33:00,,,,22:37:00,22:24:07,,22:21:52,,,22:21:00,,,,,,,22:26:00,22:29:00,22:27:45,,,,22:31:00,,22:26:58,,22:34:39
113479024238199501,22:52:00,,,,22:56:00,22:43:07,,22:40:52,,,22:40:00,,,,,,,22:45:00,22:48:00,22:46:45,,,,22:50:00,,22:45:58,,22:53:39
113479025238199501,,22:41:00,,,,,22:50:33,,22:53:00,,,22:52:19,,22:38:00,22:49:00,,,,,,22:47:18,22:45:43,22:44:00,,22:42:00,,22:39:39,
113479026238199501,,23:00:00,,,,,23:09:33,,23:12:00,,,23:11:19,,22:57:00,23:08:00,,,,,,23:06:18,23:04:43,23:03:00,,23:01:00,,22:58:39,
113479027238199501,23:12:00,,,,23:16:00,23:03:07,,23:00:52,,,23:00:00,,,,,,,23:05:00,23:08:00,23:06:45,,,,23:10:00,,23:05:58,,23:13:39
113479028238199501,,23:20:00,,,,,23:29:33,,23:32:00,,,23:31:19,,23:17:00,23:28:00,,,,,,23:26:18,23:24:43,23:23:00,,23:21:00,,23:18:39,
113479029238199501,23:32:00,,,,23:36:00,23:23:07,,23:20:52,,,23:20:00,,,,,,,23:25:00,23:28:00,23:26:45,,,,23:30:00,,23:25:58,,23:33:39
113479030238199501,,23:40:00,,,,,23:49:33,,23:52:00,,,23:51:19,,23:37:00,23:48:00,,,,,,23:46:18,23:44:43,23:43:00,,23:41:00,,23:38:39,
113479031238199501,23:50:00,,,,23:54:00,23:41:07,,23:38:52,,,23:38:00,,,,,,,23:43:00,23:46:00,23:44:45,,,,23:48:00,,23:43:58,,23:51:39
113479032238199501,24:08:00,,,,24:12:00,23:59:07,,23:56:52,,,23:56:00,,,,,,,24:01:00,24:04:00,24:02:45,,,,24:06:00,,24:01:58,,24:09:39
113479033238199501,,23:58:00,,,,,,,,,,,,23:55:00,,24:06:00,,,,,24:04:32,24:02:51,24:01:00,,23:59:00,,23:56:39,
113479034238199501,,24:16:00,,,,,,,,,,,,24:13:00,,24:24:00,,,,,24:22:32,24:20:51,24:19:00,,24:17:00,,24:14:39,
113479035238199501,24:27:00,,,,24:31:00,24:18:07,,24:15:52,,,24:15:00,,,,,,,24:20:00,24:23:00,24:21:45,,,,24:25:00,,24:20:58,,24:28:39
113480733238202001,04:52:00,,,,,,,,,,,,,,,,,04:45:00,04:48:00,04:46:45,,,,04:50:00,,04:45:58,,
113481452238202001,,,,,,,,,,,,,,,,10:46:00,,,,,10:44:32,10:42:51,10:41:00,,10:39:00,,,
113481453238202001,,,,,,,,,,,,,,,,25:30:00,,,,,25:28:32,25:26:51,25:25:00,,25:23:00,,,
113481503238202001,,,06:52:00,,,,,,,,,,,,,,,06:44:00,06:47:00,06:45:45,,,,06:50:00,,06:44:58,,
113481505238202001,05:56:00,,,,,,,,,,,,,,,,,05:49:00,05:52:00,05:50:45,,,,05:54:00,,05:49:58,,
113481512238202001,,08:53:00,,,,,,,,,,,,08:49:00,,09:02:00,,,,,09:00:32,08:58:51,08:57:00,,08:55:00,,08:51:12,
