trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306190237420000,20:14:28,,20:21:43,,20:18:58,20:18:21,20:19:28,,,,,,20:08:00,20:09:35,20:10:53,20:12:00,20:13:29,20:15:00,,,,20:22:15,,,20:17:42,,,20:15:56,,20:17:00,,,,,20:23:00
113306191237420000,20:34:28,,20:41:43,,20:38:58,20:38:21,20:39:28,,,,,,20:28:00,20:29:35,20:30:53,20:32:00,20:33:29,20:35:00,,,,20:42:15,,,20:37:42,,,20:35:56,,20:37:00,,,,,20:43:00
113306192237420000,20:53:28,,21:00:43,,20:57:58,20:57:21,20:58:28,,,,,,20:48:00,20:49:11,20:50:10,20:51:00,20:52:29,20:54:00,,,,21:01:15,,,20:56:42,,,20:54:56,,20:56:00,,,,,21:02:00
113306193237420000,21:13:28,,21:20:43,,21:17:58,21:17:21,21:18:28,,,,,,21:08:00,21:09:11,21:10:10,21:11:00,21:12:29,21:14:00,,,,21:21:15,,,21:16:42,,,21:14:56,,21:16:00,,,,,21:22:00
113306194237420000,21:33:28,,21:40:43,,21:37:58,21:37:21,21:38:28,,,,,,21:28:00,21:29:11,21:30:10,21:31:00,21:32:29,21:34:00,,,,21:41:15,,,21:36:42,,,21:34:56,,21:36:00,,,,,21:42:00
113306195237420000,21:53:28,,22:00:43,,21:57:58,21:57:21,21:58:28,,,,,,21:48:00,21:49:11,21:50:10,21:51:00,21:52:29,21:54:00,,,,22:01:15,,,21:56:42,,,21:54:56,,21:56:00,,,,,22:02:00
113306196237420000,22:13:28,,22:20:43,,22:17:58,22:17:21,22:18:28,,,,,,22:08:00,22:09:11,22:10:10,22:11:00,22:12:29,22:14:00,,,,22:21:15,,,22:16:42,,,22:14:56,,22:16:00,,,,,22:22:00
113306197237420000,22:32:28,,22:39:43,,22:36:58,22:36:21,22:37:28,,,,,,22:27:00,22:28:11,22:29:10,22:30:00,22:31:29,22:33:00,,,,22:40:15,,,22:35:42,,,22:33:56,,22:35:00,,,,,22:41:00
113306198237420000,22:52:28,,22:59:43,,22:56:58,22:56:21,22:57:28,,,,,,22:47:00,22:48:11,22:49:10,22:50:00,22:51:29,22:53:00,,,,23:00:15,,,22:55:42,,,22:53:56,,22:55:00,,,,,23:01:00
113306199237420000,23:12:28,,23:19:43,,23:16:58,23:16:21,23:17:28,,,,,,23:07:00,23:08:11,23:09:10,23:10:00,23:11:29,23:13:00,,,,23:20:15,,,23:15:42,,,23:13:56,,23:15:00,,,,,23:21:00
113306200237420000,23:32:28,,23:39:43,,23:36:58,23:36:21,23:37:28,,,,,,23:27:00,23:28:11,23:29:10,23:30:00,23:31:29,23:33:00,,,,23:40:15,,,23:35:42,,,23:33:56,,23:35:00,,,,,23:41:00
113306201237420000,23:52:28,,23:59:43,,23:56:58,23:56:21,23:57:28,,,,,,23:47:00,23:48:11,23:49:10,23:50:00,23:51:29,23:53:00,,,,24:00:15,,,23:55:42,,,23:53:56,,23:55:00,,,,,24:01:00
113306202237420000,24:12:28,,24:19:43,,24:16:58,24:16:21,24:17:28,,,,,,24:07:00,24:08:11,24:09:10,24:10:00,24:11:29,24:13:00,,,,24:20:15,,,24:15:42,,,24:13:56,,24:15:00,,,,,24:21:00
113306203237420000,24:33:28,,24:40:43,,24:37:58,24:37:21,24:38:28,,,,,,24:28:00,24:29:11,24:30:10,24:31:00,24:32:29,24:34:00,,,,24:41:15,,,24:36:42,,,24:34:56,,24:36:00,,,,,24:42:00
113306204237420000,,05:32:42,,05:26:43,,,,05:27:17,05:35:49,05:36:24,05:37:31,05:38:32,05:40:00,,,,,,,,,,,05:28:14,,,,,05:30:35,,05:29:00,05:32:00,05:33:32,05:35:00,05:26:00
113306205237420000,,06:09:42,,06:03:43,,,,06:04:17,06:12:49,06:13:24,06:14:31,06:15:32,06:17:00,,,,,,,,,,,06:05:14,,,,,06:07:35,,06:06:00,06:09:00,06:10:32,06:12:00,06:03:00
113306206237420000,,06:34:57,,06:28:43,,,,06:29:17,06:38:59,06:39:41,06:41:01,06:42:15,06:44:00,,,,,,,,,,,06:30:14,,,,,06:32:35,,06:31:00,06:34:00,06:36:03,06:38:00,06:28:00
113306207237420000,,06:49:57,,06:42:58,,,,06:43:42,06:53:59,06:54:41,06:56:01,06:57:15,06:59:00,,,,,,,,,,,06:44:59,,,,,06:47:35,,06:46:00,06:49:00,06:51:03,06:53:00,06:42:00
113306208237420000,,07:02:57,,06:55:58,,,,06:56:42,07:06:59,07:07:41,07:09:01,07:10:15,07:12:00,,,,,,,,,,,06:57:59,,,,,07:00:35,,06:59:00,07:02:00,07:04:03,07:06:00,06:55:00
113306209237420000,,07:14:57,,07:07:58,,,,07:08:42,07:18:59,07:19:41,07:21:01,07:22:15,07:24:00,,,,,,,,,,,07:09:59,,,,,07:12:35,,07:11:00,07:14:00,07:16:03,07:18:00,07:07:00
