trip_id,1662,1664,2127,2141,2218,2225,2252,2254,2259,2260,2683,2684,2685,3055,3056,3057,3066,3608B,3609,3612,3613,6483B,6484B,6792,6799,6808B,6811B,6856B,6860B,7568
113714071239009501,10:41:00,,,10:34:00,,10:30:50,,,10:36:35,10:38:00,10:23:00,,10:28:00,10:34:38,10:36:01,,,,,10:23:17,10:24:05,,10:29:00,,10:25:00,,,10:26:23,10:39:27,
113714072239009501,10:51:00,,,10:44:00,,10:40:50,,,10:46:35,10:48:00,10:33:00,,10:38:00,10:44:38,10:46:01,,,,,10:33:17,10:34:05,,10:39:00,,10:35:00,,,10:36:23,10:49:27,
113714073239009501,11:01:00,,,10:54:00,,10:50:50,,,10:56:35,10:58:00,10:43:00,,10:48:00,10:54:38,10:56:01,,,,,10:43:17,10:44:05,,10:49:00,,10:45:00,,,10:46:23,10:59:27,
113714074239009501,11:11:00,,,11:04:00,,11:00:50,,,11:06:35,11:08:00,10:53:00,,10:58:00,11:04:38,11:06:01,,,,,10:53:17,10:54:05,,10:59:00,,10:55:00,,,10:56:23,11:09:27,
113714075239009501,11:21:00,,,11:14:00,,11:10:50,,,11:16:35,11:18:00,11:03:00,,11:08:00,11:14:38,11:16:01,,,,,11:03:17,11:04:05,,11:09:00,,11:05:00,,,11:06:23,11:19:27,
113714076239009501,11:31:00,,,11:24:00,,11:20:50,,,11:26:35,11:28:00,11:13:00,,11:18:00,11:24:38,11:26:01,,,,,11:13:17,11:14:05,,11:19:00,,11:15:00,,,11:16:23,11:29:27,
113714077239009501,11:41:00,,,11:33:00,,11:29:50,,,11:36:14,11:38:00,11:22:00,,11:27:00,11:33:48,11:35:31,,,,,11:22:17,11:23:05,,11:28:00,,11:24:00,,,11:25:23,11:39:27,
113714078239009501,11:51:00,,,11:43:00,,11:39:12,,,11:46:14,11:48:00,11:30:00,,11:35:00,11:43:48,11:45:31,,,,,11:30:17,11:31:05,,11:37:00,,11:32:00,,,11:33:23,11:49:27,
113714079239009501,12:01:00,,,11:53:00,,11:49:12,,,11:56:14,11:58:00,11:40:00,,11:45:00,11:53:48,11:55:31,,,,,11:40:17,11:41:05,,11:47:00,,11:42:00,,,11:43:23,11:59:27,
113714080239009501,12:11:00,,,12:03:00,,11:59:12,,,12:06:14,12:08:00,11:50:00,,11:55:00,12:03:48,12:05:31,,,,,11:50:17,11:51:05,,11:57:00,,11:52:00,,,11:53:23,12:09:27,
113714081239009501,12:21:00,,,12:13:00,,12:09:12,,,12:16:14,12:18:00,12:00:00,,12:05:00,12:13:48,12:15:31,,,,,12:00:17,12:01:05,,12:07:00,,12:02:00,,,12:03:23,12:19:27,
113714082239009501,12:31:00,,,12:23:00,,12:19:12,,,12:26:14,12:28:00,12:10:00,,12:15:00,12:23:48,12:25:31,,,,,12:10:17,12:11:05,,12:17:00,,12:12:00,,,12:13:23,12:29:27,
113714083239009501,12:41:00,,,12:33:00,,12:29:12,,,12:36:14,12:38:00,12:20:00,,12:25:00,12:33:48,12:35:31,,,,,12:20:17,12:21:05,,12:27:00,,12:22:00,,,12:23:23,12:39:27,
113714084239009501,12:51:00,,,12:43:00,,12:39:12,,,12:46:14,12:48:00,12:30:00,,12:35:00,12:43:48,12:45:31,,,,,12:30:17,12:31:05,,12:37:00,,12:32:00,,,12:33:23,12:49:27,
113714085239009501,13:01:00,,,12:53:00,,12:49:12,,,12:56:14,12:58:00,12:40:00,,12:45:00,12:53:48,12:55:31,,,,,12:40:17,12:41:05,,12:47:00,,12:42:00,,,12:43:23,12:59:27,
113714086239009501,13:11:00,,,13:03:00,,12:59:12,,,13:06:14,13:08:00,12:50:00,,12:55:00,13:03:48,13:05:31,,,,,12:50:17,12:51:05,,12:57:00,,12:52:00,,,12:53:23,13:09:27,
113714087239009501,13:21:00,,,13:13:00,,13:09:12,,,13:16:14,13:18:00,13:00:00,,13:05:00,13:13:48,13:15:31,,,,,13:00:17,13:01:05,,13:07:00,,13:02:00,,,13:03:23,13:19:27,
113714088239009501,13:31:00,,,13:23:00,,13:19:12,,,13:26:14,13:28:00,13:10:00,,13:15:00,13:23:48,13:25:31,,,,,13:10:17,13:11:05,,13:17:00,,13:12:00,,,13:13:23,13:29:27,
113714089239009501,13:41:00,,,13:33:00,,13:29:12,,,13:36:14,13:38:00,13:20:00,,13:25:00,13:33:48,13:35:31,,,,,13:20:17,13:21:05,,13:27:00,,13:22:00,,,13:23:23,13:39:27,
113714090239009501,13:51:00,,,13:43:00,,13:39:12,,,13:46:14,13:48:00,13:30:00,,13:35:00,13:43:48,13:45:31,,,,,13:30:17,13:31:05,,13:37:00,,13:32:00,,,13:33:23,13:49:27,
113714091239009501,14:01:00,,,13:53:00,,13:49:12,,,13:56:14,13:58:00,13:40:00,,13:45:00,13:53:48,13:55:31,,,,,13:40:17,13:41:05,,13:47:00,,13:42:00,,,13:43:23,13:59:27,
113714092239009501,14:11:00,,,14:03:00,,13:59:12,,,14:06:14,14:08:00,13:50:00,,13:55:00,14:03:48,14:05:31,,,,,13:50:17,13:51:05,,13:57:00,,13:52:00,,,13:53:23,14:09:27,
113714093239009501,14:21:00,,,14:13:00,,14:09:12,,,14:16:14,14:18:00,14:00:00,,14:05:00,14:13:48,14:15:31,,,,,14:00:17,14:01:05,,14:07:00,,14:02:00,,,14:03:23,14:19:27,
113714094239009501,14:31:00,,,14:23:00,,14:19:12,,,14:26:14,14:28:00,14:10:00,,14:15:00,14:23:48,14:25:31,,,,,14:10:17,14:11:05,,14:17:00,,14:12:00,,,14:13:23,14:29:27,
113714095239009501,14:41:00,,,14:33:00,,14:29:12,,,14:36:14,14:38:00,14:20:00,,14:25:00,14:33:48,14:35:31,,,,,14:20:17,14:21:05,,14:27:00,,14:22:00,,,14:23:23,14:39:27,
113714096239009501,14:51:00,,,14:43:00,,14:39:12,,,14:46:14,14:48:00,14:30:00,,14:35:00,14:43:48,14:45:31,,,,,14:30:17,14:31:05,,14:37:00,,14:32:00,,,14:33:23,14:49:27,
113714097239009501,15:00:00,,,14:52:00,,14:48:12,,,14:55:14,14:57:00,14:39:00,,14:44:00,14:52:48,14:54:31,,,,,14:39:17,14:40:05,,14:46:00,,14:41:00,,,14:42:23,14:58:27,
113714098239009501,15:10:00,,,15:02:00,,14:58:12,,,15:05:14,15:07:00,14:49:00,,14:54:00,15:02:48,15:04:31,,,,,14:49:17,14:50:05,,14:56:00,,14:51:00,,,14:52:23,15:08:27,
113714099239009501,15:20:00,,,15:12:00,,15:08:12,,,15:15:14,15:17:00,14:59:00,,15:04:00,15:12:48,15:14:31,,,,,14:59:17,15:00:05,,15:06:00,,15:01:00,,,15:02:23,15:18:27,
113714100239009501,15:30:00,,,15:22:00,,15:18:12,,,15:25:14,15:27:00,15:09:00,,15:14:00,15:22:48,15:24:31,,,,,15:09:17,15:10:05,,15:16:00,,15:11:00,,,15:12:23,15:28:27,
113714101239009501,15:40:00,,,15:32:00,,15:28:12,,,15:35:14,15:37:00,15:19:00,,15:24:00,15:32:48,15:34:31,,,,,15:19:17,15:20:05,,15:26:00,,15:21:00,,,15:22:23,15:38:27,
113714102239009501,15:51:00,,,15:43:00,,15:39:12,,,15:46:14,15:48:00,15:30:00,,15:35:00,15:43:48,15:45:31,,,,,15:30:17,15:31:05,,15:37:00,,15:32:00,,,15:33:23,15:49:27,
