trip_id,1018,1204,1260,1478,1479,1480,1482,1483,1484,1486B,1487,1489,1490,1492,1493,1495,1498,1541B,2319,2375,2382,2383,2648,5296B,5297B,6856B
113349669237570001,17:11:00,,17:06:00,16:52:03,16:53:57,16:56:51,17:04:08,17:07:35,17:09:26,17:12:00,,,,,,17:00:04,16:55:02,,17:03:00,,,16:50:00,,,16:58:00,17:01:10
113349670237570001,,17:15:39,,,,,,,,17:11:00,17:12:16,17:17:02,17:20:41,17:24:10,17:26:50,,,17:28:00,,17:18:00,17:30:00,,17:15:04,17:23:00,,
113349671237570001,,22:07:59,,,,,,,,22:04:00,22:05:05,22:09:10,22:11:37,22:13:42,22:15:18,,,22:16:00,,22:10:00,22:18:00,,22:07:29,22:13:00,,
113349672237570001,15:30:00,,15:25:00,15:11:47,15:13:28,15:16:00,15:23:08,15:26:35,15:28:26,15:31:00,,,,,,15:19:04,15:14:24,,15:22:00,,,15:10:00,,,15:17:00,15:20:10
113349673237570001,17:58:00,,17:53:00,17:39:47,17:41:28,17:44:00,17:51:08,17:54:35,17:56:26,17:59:00,,,,,,17:47:04,17:42:24,,17:50:00,,,17:38:00,,,17:45:00,17:48:10
113349674237570001,23:18:00,,23:14:15,23:05:17,23:06:28,23:08:17,23:12:51,23:15:26,23:16:49,23:19:00,,,,,,23:10:14,23:07:08,,23:12:00,,,23:04:00,,,23:09:00,23:10:54
113349675237570001,16:21:00,,16:16:00,16:02:03,16:03:57,16:06:51,16:14:08,16:17:35,16:19:26,16:22:00,,,,,,16:10:04,16:05:02,,16:13:00,,,16:00:00,,,16:08:00,16:11:10
113349676237570001,,06:19:19,,,,,,,,06:16:00,06:16:55,06:20:18,06:22:37,06:24:56,06:27:04,,,06:28:00,,06:21:00,06:30:00,,06:18:54,06:24:00,,
113349677237570001,07:54:00,,07:49:37,07:37:47,07:39:28,07:42:00,07:48:00,07:51:01,07:52:37,07:55:00,,,,,,07:44:39,07:40:24,,07:47:00,,,07:36:00,,,07:43:00,07:45:32
113349678237570001,,08:00:19,,,,,,,,07:55:00,07:56:27,08:01:53,08:05:41,08:09:10,08:11:50,,,08:13:00,,08:03:00,08:15:00,,07:59:39,08:08:00,,
113349679237570001,08:45:00,,08:40:37,08:27:47,08:29:28,08:32:00,08:39:00,08:42:01,08:43:37,08:46:00,,,,,,08:35:04,08:30:24,,08:38:00,,,08:26:00,,,08:33:00,08:36:10
113349680237570001,06:10:00,,,,,,,06:07:00,06:08:37,06:11:00,,,,,,,,,,,,,,,,
113349681237570001,,07:01:59,,,,,,,,06:58:00,06:59:05,07:03:10,07:06:09,07:08:56,07:11:04,,,07:12:00,,07:04:00,07:14:00,,07:01:29,07:08:00,,
113349682237570001,,08:49:39,,,,,,,,08:45:00,08:46:16,08:51:02,08:54:41,08:58:10,09:00:50,,,09:02:00,,08:52:00,09:04:00,,08:49:04,08:57:00,,
113349683237570001,06:53:00,,06:49:15,06:38:32,06:39:58,06:42:09,06:47:51,06:50:26,06:51:49,06:54:00,,,,,,06:44:39,06:40:46,,06:47:00,,,06:37:00,,,06:43:00,06:45:32
113349684237570001,09:35:00,,09:30:37,09:17:47,09:19:28,09:22:00,09:29:00,09:32:01,09:33:37,09:36:00,,,,,,09:25:04,09:20:24,,09:28:00,,,09:16:00,,,09:23:00,09:26:10
113349685237570001,,09:41:39,,,,,,,,09:37:00,09:38:16,09:43:02,09:46:41,09:49:56,09:52:04,,,09:53:00,,09:44:00,09:55:00,,09:41:04,09:49:00,,
113349690237570001,,,,23:45:17,23:46:28,23:48:17,,,,,,,,,,,23:47:08,,,,,23:44:00,,,23:49:00,
113349691237570001,,,,,,,,,,,,,,06:47:56,06:50:04,,,06:51:00,,,06:53:00,,,06:47:00,,
113349698237570001,10:01:00,,09:56:37,09:43:47,09:45:28,09:48:00,09:55:00,09:58:01,09:59:37,10:02:00,,,,,,09:51:04,09:46:24,,09:54:00,,,09:42:00,,,09:49:00,09:52:10
113349705237570001,,10:07:39,,,,,,,,10:03:00,10:04:16,10:09:02,10:12:41,10:15:56,10:18:04,,,10:19:00,,10:10:00,10:21:00,,10:07:04,10:15:00,,
113349706237570001,06:47:00,,,,,,,06:44:00,06:45:37,06:48:00,,,,,,,,,,,,,,,,
