trip_id,1662,1664,1665,1666,2528,2541,3800,3802,3804B,3805,3808,3810,3812,3814,3815,3850,3851,3852,3853,3856,3858,3859,3860
113552805238506503,,18:53:00,,18:59:00,,,18:54:47,18:55:53,18:56:39,18:58:00,19:01:00,19:04:00,19:01:54,19:05:06,,19:06:00,,,19:03:03,,,,
113552806238506503,20:51:00,,20:44:00,,20:47:16,20:48:34,,,,,,,,,20:39:27,20:39:00,20:40:10,20:46:16,,20:43:00,20:45:00,20:41:49,20:40:54
113552807238506503,19:46:00,,19:38:00,,19:41:39,19:43:09,,,,,,,,,19:32:27,19:32:00,19:33:10,19:40:29,,19:36:00,19:39:00,19:34:49,19:33:54
113552808238506503,20:32:00,,20:25:00,,20:28:16,20:29:34,,,,,,,,,20:20:27,20:20:00,20:21:10,20:27:16,,20:24:00,20:26:00,20:22:49,20:21:54
113552809238506503,19:16:00,,19:08:00,,19:11:39,19:13:09,,,,,,,,,19:02:27,19:02:00,19:03:10,19:10:29,,19:06:00,19:09:00,19:04:49,19:03:54
113552810238506503,20:01:00,,19:53:00,,19:56:39,19:58:09,,,,,,,,,19:47:27,19:47:00,19:48:10,19:55:29,,19:51:00,19:54:00,19:49:49,19:48:54
113552811238506503,,20:43:00,,20:48:00,,,20:44:25,20:45:19,20:45:55,20:47:00,20:50:00,20:52:24,20:50:43,20:53:17,,20:54:00,,,20:51:39,,,,
113552812238506503,,19:53:00,,19:59:00,,,19:54:47,19:55:53,19:56:39,19:58:00,20:01:00,20:03:24,20:01:43,20:04:17,,20:05:00,,,20:02:39,,,,
113552813238506503,19:31:00,,19:23:00,,19:26:39,19:28:09,,,,,,,,,19:17:27,19:17:00,19:18:10,19:25:29,,19:21:00,19:24:00,19:19:49,19:18:54
113552814238506503,18:46:00,,18:38:00,,18:41:39,18:43:09,,,,,,,,,18:32:27,18:32:00,18:33:10,18:40:29,,18:36:00,18:39:00,18:34:49,18:33:54
113552815238506503,,24:37:00,,24:42:00,,,24:38:25,24:39:19,24:39:55,24:41:00,,,,,,,,,,,,,
113552816238506503,,06:03:00,,06:08:00,,,06:04:25,06:05:19,06:05:55,06:07:00,06:09:00,06:12:00,06:09:54,06:13:06,,06:14:00,,,06:11:03,,,,
113552817238506503,05:55:00,,05:49:00,,05:51:53,05:52:58,,,,,,,,,,,,05:51:04,,,05:50:00,,
113552818238506503,22:30:00,,22:24:00,,22:26:53,22:27:58,,,,,,,,,22:19:27,22:19:00,22:20:10,22:26:04,,22:23:00,22:25:00,22:21:49,22:20:54
113552819238506503,22:10:00,,22:04:00,,22:06:53,22:07:58,,,,,,,,,21:59:27,21:59:00,22:00:10,22:06:04,,22:03:00,22:05:00,22:01:49,22:00:54
113552820238506503,06:31:00,,06:25:00,,06:27:53,06:28:58,,,,,,,,,06:20:27,06:20:00,06:21:10,06:27:04,,06:24:00,06:26:00,06:22:49,06:21:54
113552821238506503,,06:23:00,,06:28:00,,,06:24:25,06:25:19,06:25:55,06:27:00,06:29:00,06:32:00,06:29:54,06:33:06,,06:34:00,,,06:31:03,,,,
113552822238506503,,06:43:00,,06:48:00,,,06:44:25,06:45:19,06:45:55,06:47:00,06:49:00,06:52:00,06:49:54,06:53:06,,06:54:00,,,06:51:03,,,,
113552823238506503,06:52:00,,06:46:00,,06:48:53,06:49:58,,,,,,,,,06:41:27,06:41:00,06:42:10,06:48:04,,06:45:00,06:47:00,06:43:49,06:42:54
113552824238506503,,07:02:00,,07:08:00,,,07:03:47,07:04:53,07:05:39,07:07:00,07:09:00,07:12:00,07:09:54,07:13:06,,07:14:00,,,07:11:03,,,,
113552825238506503,07:13:00,,07:07:00,,07:09:53,07:10:58,,,,,,,,,07:02:27,07:02:00,07:03:10,07:09:04,,07:06:00,07:08:00,07:04:49,07:03:54
113552826238506503,,07:22:00,,07:28:00,,,07:23:47,07:24:53,07:25:39,07:27:00,07:29:00,07:32:00,07:29:54,07:33:06,,07:34:00,,,07:31:03,,,,
113552827238506503,07:33:00,,07:27:00,,07:29:53,07:30:58,,,,,,,,,07:22:27,07:22:00,07:23:10,07:29:04,,07:26:00,07:28:00,07:24:49,07:23:54
113552828238506503,,07:53:00,,07:59:00,,,07:54:47,07:55:53,07:56:39,07:58:00,08:00:00,08:03:00,08:00:54,08:04:06,,08:05:00,,,08:02:03,,,,
113552829238506503,,07:38:00,,07:44:00,,,07:39:47,07:40:53,07:41:39,07:43:00,07:45:00,07:48:00,07:45:54,07:49:06,,07:50:00,,,07:47:03,,,,
113552830238506503,07:53:00,,07:47:00,,07:49:53,07:50:58,,,,,,,,,07:42:27,07:42:00,07:43:10,07:49:04,,07:46:00,07:48:00,07:44:49,07:43:54
113552831238506503,,08:23:00,,08:29:00,,,08:24:47,08:25:53,08:26:39,08:28:00,08:30:00,08:33:00,08:30:54,08:34:06,,08:35:00,,,08:32:03,,,,
113552832238506503,08:13:00,,08:07:00,,08:09:53,08:10:58,,,,,,,,,08:02:27,08:02:00,08:03:10,08:09:04,,08:06:00,08:08:00,08:04:49,08:03:54
113552847238506503,11:14:00,,11:07:00,,11:10:16,11:11:34,,,,,,,,,11:02:27,11:02:00,11:03:10,11:09:16,,11:06:00,11:08:00,11:04:49,11:03:54
113552850238506503,11:29:00,,11:22:00,,11:25:16,11:26:34,,,,,,,,,11:17:27,11:17:00,11:18:10,11:24:16,,11:21:00,11:23:00,11:19:49,11:18:54
113552851238506503,,11:22:00,,11:28:00,,,11:23:47,11:24:53,11:25:39,11:27:00,11:30:00,11:33:00,11:30:54,11:34:06,,11:35:00,,,11:32:03,,,,
113552852238506503,11:44:00,,11:37:00,,11:40:16,11:41:34,,,,,,,,,11:32:27,11:32:00,11:33:10,11:39:16,,11:36:00,11:38:00,11:34:49,11:33:54
113552853238506503,,11:37:00,,11:43:00,,,11:38:47,11:39:53,11:40:39,11:42:00,11:45:00,11:48:00,11:45:54,11:49:06,,11:50:00,,,11:47:03,,,,
113552854238506503,12:15:00,,12:07:00,,12:10:39,12:12:09,,,,,,,,,12:02:27,12:02:00,12:03:10,12:09:29,,12:06:00,12:08:00,12:04:49,12:03:54
113552855238506503,11:59:00,,11:52:00,,11:55:16,11:56:34,,,,,,,,,11:47:27,11:47:00,11:48:10,11:54:16,,11:51:00,11:53:00,11:49:49,11:48:54
113552856238506503,,11:52:00,,11:58:00,,,11:53:47,11:54:53,11:55:39,11:57:00,12:00:00,12:03:00,12:00:54,12:04:06,,12:05:00,,,12:02:03,,,,
113552857238506503,,12:07:00,,12:13:00,,,12:08:47,12:09:53,12:10:39,12:12:00,12:15:00,12:18:00,12:15:54,12:19:06,,12:20:00,,,12:17:03,,,,
113552858238506503,12:45:00,,12:37:00,,12:40:39,12:42:09,,,,,,,,,12:32:27,12:32:00,12:33:10,12:39:29,,12:36:00,12:38:00,12:34:49,12:33:54
113552859238506503,12:30:00,,12:22:00,,12:25:39,12:27:09,,,,,,,,,12:17:27,12:17:00,12:18:10,12:24:29,,12:21:00,12:23:00,12:19:49,12:18:54
113552860238506503,,12:37:00,,12:43:00,,,12:38:47,12:39:53,12:40:39,12:42:00,12:45:00,12:48:00,12:45:54,12:49:06,,12:50:00,,,12:47:03,,,,
113552861238506503,,12:22:00,,12:28:00,,,12:23:47,12:24:53,12:25:39,12:27:00,12:30:00,12:33:00,12:30:54,12:34:06,,12:35:00,,,12:32:03,,,,
113552862238506503,13:00:00,,12:52:00,,12:55:39,12:57:09,,,,,,,,,12:47:27,12:47:00,12:48:10,12:54:29,,12:51:00,12:53:00,12:49:49,12:48:54
113552863238506503,,12:52:00,,12:58:00,,,12:53:47,12:54:53,12:55:39,12:57:00,13:00:00,13:03:00,13:00:54,13:04:06,,13:05:00,,,13:02:03,,,,
113552864238506503,13:30:00,,13:22:00,,13:25:39,13:27:09,,,,,,,,,13:17:27,13:17:00,13:18:10,13:24:29,,13:21:00,13:23:00,13:19:49,13:18:54
113552865238506503,13:15:00,,13:07:00,,13:10:39,13:12:09,,,,,,,,,13:02:27,13:02:00,13:03:10,13:09:29,,13:06:00,13:08:00,13:04:49,13:03:54
113552866238506503,13:45:00,,13:37:00,,13:40:39,13:42:09,,,,,,,,,13:32:27,13:32:00,13:33:10,13:39:29,,13:36:00,13:38:00,13:34:49,13:33:54
113552867238506503,,13:37:00,,13:43:00,,,13:38:47,13:39:53,13:40:39,13:42:00,13:45:00,13:48:00,13:45:54,13:49:06,,13:50:00,,,13:47:03,,,,
113552868238506503,,13:22:00,,13:28:00,,,13:23:47,13:24:53,13:25:39,13:27:00,13:30:00,13:33:00,13:30:54,13:34:06,,13:35:00,,,13:32:03,,,,
113552869238506503,,13:07:00,,13:13:00,,,13:08:47,13:09:53,13:10:39,13:12:00,13:15:00,13:18:00,13:15:54,13:19:06,,13:20:00,,,13:17:03,,,,
113552870238506503,14:00:00,,13:52:00,,13:55:39,13:57:09,,,,,,,,,13:47:27,13:47:00,13:48:10,13:54:29,,13:51:00,13:53:00,13:49:49,13:48:54
113552871238506503,,13:52:00,,13:58:00,,,13:53:47,13:54:53,13:55:39,13:57:00,14:00:00,14:03:00,14:00:54,14:04:06,,14:05:00,,,14:02:03,,,,
113552872238506503,,14:07:00,,14:13:00,,,14:08:47,14:09:53,14:10:39,14:12:00,14:15:00,14:18:00,14:15:54,14:19:06,,14:20:00,,,14:17:03,,,,
113552873238506503,14:15:00,,14:07:00,,14:10:39,14:12:09,,,,,,,,,14:02:27,14:02:00,14:03:10,14:09:29,,14:06:00,14:08:00,14:04:49,14:03:54
113552874238506503,,14:52:00,,14:58:00,,,14:53:47,14:54:53,14:55:39,14:57:00,15:00:00,15:03:00,15:00:54,15:04:06,,15:05:00,,,15:02:03,,,,
113552875238506503,,14:37:00,,14:43:00,,,14:38:47,14:39:53,14:40:39,14:42:00,14:45:00,14:48:00,14:45:54,14:49:06,,14:50:00,,,14:47:03,,,,
113552876238506503,,14:22:00,,14:28:00,,,14:23:47,14:24:53,14:25:39,14:27:00,14:30:00,14:33:00,14:30:54,14:34:06,,14:35:00,,,14:32:03,,,,
113552877238506503,14:30:00,,14:22:00,,14:25:39,14:27:09,,,,,,,,,14:17:27,14:17:00,14:18:10,14:24:29,,14:21:00,14:23:00,14:19:49,14:18:54
113552878238506503,14:45:00,,14:37:00,,14:40:39,14:42:09,,,,,,,,,14:32:27,14:32:00,14:33:10,14:39:29,,14:36:00,14:38:00,14:34:49,14:33:54
113552879238506503,15:00:00,,14:52:00,,14:55:39,14:57:09,,,,,,,,,14:47:27,14:47:00,14:48:10,14:54:29,,14:51:00,14:53:00,14:49:49,14:48:54
113552880238506503,,15:07:00,,15:13:00,,,15:08:47,15:09:53,15:10:39,15:12:00,15:15:00,15:18:00,15:15:54,15:19:06,,15:20:00,,,15:17:03,,,,
113552881238506503,15:15:00,,15:07:00,,15:10:39,15:12:09,,,,,,,,,15:02:27,15:02:00,15:03:10,15:09:29,,15:06:00,15:08:00,15:04:49,15:03:54
113552882238506503,16:00:00,,15:52:00,,15:55:39,15:57:09,,,,,,,,,15:46:34,15:46:00,15:47:27,15:54:29,,15:51:00,15:53:00,15:49:31,15:48:23
113552883238506503,15:45:00,,15:37:00,,15:40:39,15:42:09,,,,,,,,,15:32:27,15:32:00,15:33:10,15:39:29,,15:36:00,15:38:00,15:34:49,15:33:54
113552884238506503,,15:22:00,,15:28:00,,,15:23:47,15:24:53,15:25:39,15:27:00,15:30:00,15:33:00,15:30:54,15:34:06,,15:35:00,,,15:32:03,,,,
113552885238506503,,15:37:00,,15:43:00,,,15:38:47,15:39:53,15:40:39,15:42:00,15:45:00,15:48:00,15:45:54,15:49:06,,15:50:00,,,15:47:03,,,,
113552886238506503,15:30:00,,15:22:00,,15:25:39,15:27:09,,,,,,,,,15:17:27,15:17:00,15:18:10,15:24:29,,15:21:00,15:23:00,15:19:49,15:18:54
113552887238506503,,15:52:00,,15:58:00,,,15:53:47,15:54:53,15:55:39,15:57:00,16:00:00,16:03:00,16:00:54,16:04:06,,16:05:00,,,16:02:03,,,,
113552888238506503,16:15:00,,16:07:00,,16:10:39,16:12:09,,,,,,,,,16:01:34,16:01:00,16:02:27,16:09:29,,16:06:00,16:08:00,16:04:31,16:03:23
113552889238506503,,16:07:00,,16:13:00,,,16:08:47,16:09:53,16:10:39,16:12:00,16:15:00,16:18:00,16:15:54,16:19:06,,16:20:00,,,16:17:03,,,,
113552890238506503,16:45:00,,16:37:00,,16:40:39,16:42:09,,,,,,,,,16:31:34,16:31:00,16:32:27,16:39:29,,16:36:00,16:38:00,16:34:31,16:33:23
113552891238506503,16:30:00,,16:22:00,,16:25:39,16:27:09,,,,,,,,,16:16:34,16:16:00,16:17:27,16:24:29,,16:21:00,16:23:00,16:19:31,16:18:23
113552892238506503,,16:22:00,,16:28:00,,,16:23:47,16:24:53,16:25:39,16:27:00,16:30:00,16:33:00,16:30:54,16:34:06,,16:35:00,,,16:32:03,,,,
113552893238506503,,16:37:00,,16:43:00,,,16:38:47,16:39:53,16:40:39,16:42:00,16:45:00,16:48:00,16:45:54,16:49:06,,16:50:00,,,16:47:03,,,,
113552894238506503,,17:37:00,,17:43:00,,,17:38:47,17:39:53,17:40:39,17:42:00,17:45:00,17:48:00,17:45:54,17:49:06,,17:50:00,,,17:47:03,,,,
113552895238506503,,17:22:00,,17:28:00,,,17:23:47,17:24:53,17:25:39,17:27:00,17:30:00,17:33:00,17:30:54,17:34:06,,17:35:00,,,17:32:03,,,,
113552896238506503,17:15:00,,17:07:00,,17:10:39,17:12:09,,,,,,,,,17:01:34,17:01:00,17:02:27,17:09:29,,17:06:00,17:08:00,17:04:31,17:03:23
