trip_id,1145,1242,1348,1350,1351,1356,1894,2305,2370,2558,3225,3230,3231,3232,3233,3234,3238,3252,3253,3257,3259B,3260,3261,3263B,3281,3282,4074B,4127,4213,4214,4217,4252,4253,4258,4266,4267,4271,4594,4595,6648,6702,6706,6754,6755
113357873237593601,,16:06:41,,,16:17:46,16:19:00,,16:20:19,,16:29:00,,,,,,15:56:00,15:57:41,15:58:16,16:02:00,16:02:56,,,,,15:59:03,16:00:00,,16:27:00,,,,16:22:15,16:14:00,16:24:35,16:26:14,,,,16:04:00,,,,16:08:39,16:10:34
113357874237593601,,16:16:41,,,16:27:46,16:29:00,,16:30:19,,16:39:00,,,,,,16:06:00,16:07:41,16:08:16,16:12:00,16:12:56,,,,,16:09:03,16:10:00,,16:37:00,,,,16:32:15,16:24:00,16:34:35,16:36:14,,,,16:14:00,,,,16:18:39,16:20:34
113357875237593601,,16:26:41,,,16:37:46,16:39:00,,16:40:19,,16:49:00,,,,,,16:16:00,16:17:41,16:18:16,16:22:00,16:22:56,,,,,16:19:03,16:20:00,,16:47:00,,,,16:42:15,16:34:00,16:44:35,16:46:14,,,,16:24:00,,,,16:28:39,16:30:34
113357876237593601,,16:38:41,,,16:49:46,16:51:00,,16:52:19,,17:01:00,,,,,,16:27:00,16:28:41,16:29:16,16:33:00,16:34:24,,,,,16:30:03,16:31:00,,16:59:00,,,,16:54:15,16:46:00,16:56:35,16:58:14,,,,16:36:00,,,,16:40:39,16:42:34
113357877237593601,,16:53:41,,,17:04:46,17:06:00,,17:07:19,,17:16:00,,,,,,16:42:00,16:43:41,16:44:16,16:48:00,16:49:24,,,,,16:45:03,16:46:00,,17:14:00,,,,17:09:15,17:01:00,17:11:35,17:13:14,,,,16:51:00,,,,16:55:39,16:57:34
113357878237593601,,17:08:41,,,17:19:46,17:21:00,,17:22:19,,17:31:00,,,,,,16:57:00,16:58:41,16:59:16,17:03:00,17:04:24,,,,,17:00:03,17:01:00,,17:29:00,,,,17:24:15,17:16:00,17:26:35,17:28:14,,,,17:06:00,,,,17:10:39,17:12:34
113357879237593601,,17:23:41,,,17:34:46,17:36:00,,17:37:19,,17:46:00,,,,,,17:12:00,17:13:41,17:14:16,17:18:00,17:19:24,,,,,17:15:03,17:16:00,,17:44:00,,,,17:39:15,17:31:00,17:41:35,17:43:14,,,,17:21:00,,,,17:25:39,17:27:34
113357880237593601,,17:39:41,,,17:50:46,17:52:00,,17:53:19,,18:02:00,,,,,,17:28:00,17:29:41,17:30:16,17:34:00,17:35:24,,,,,17:31:03,17:32:00,,18:00:00,,,,17:55:15,17:47:00,17:57:35,17:59:14,,,,17:37:00,,,,17:41:39,17:43:34
113357881237593601,,17:54:41,,,18:05:46,18:07:00,,18:08:19,,18:17:00,,,,,,17:43:00,17:44:41,17:45:16,17:49:00,17:50:24,,,,,17:46:03,17:47:00,,18:15:00,,,,18:10:15,18:02:00,18:12:35,18:14:14,,,,17:52:00,,,,17:56:39,17:58:34
113357882237593601,,18:09:41,,,18:20:46,18:22:00,,18:23:19,,18:32:00,,,,,,17:58:00,17:59:41,18:00:16,18:04:00,18:05:24,,,,,18:01:03,18:02:00,,18:30:00,,,,18:25:15,18:17:00,18:27:35,18:29:14,,,,18:07:00,,,,18:11:39,18:13:34
113357883237593601,,18:24:41,,,18:35:46,18:37:00,,18:38:19,,18:47:00,,,,,,18:13:00,18:14:41,18:15:16,18:19:00,18:20:24,,,,,18:16:03,18:17:00,,18:45:00,,,,18:40:15,18:32:00,18:42:35,18:44:14,,,,18:22:00,,,,18:26:39,18:28:34
113357884237593601,,18:39:41,,,18:50:46,18:52:00,,18:53:19,,19:02:00,,,,,,18:28:00,18:29:41,18:30:16,18:34:00,18:35:24,,,,,18:31:03,18:32:00,,19:00:00,,,,18:55:15,18:47:00,18:57:35,18:59:14,,,,18:37:00,,,,18:41:39,18:43:34
113357885237593601,,18:54:41,,,19:05:46,19:07:00,,19:08:19,,19:17:00,,,,,,18:43:00,18:44:41,18:45:16,18:49:00,18:50:24,,,,,18:46:03,18:47:00,,19:15:00,,,,19:10:15,19:02:00,19:12:35,19:14:14,,,,18:52:00,,,,18:56:39,18:58:34
113357886237593601,,19:09:41,,,19:20:46,19:22:00,,19:23:19,,19:32:00,,,,,,18:58:00,18:59:41,19:00:16,19:04:00,19:05:24,,,,,19:01:03,19:02:00,,19:30:00,,,,19:25:15,19:17:00,19:27:35,19:29:14,,,,19:07:00,,,,19:11:39,19:13:34
113357887237593601,,19:24:41,,,19:35:46,19:37:00,,19:38:19,,19:47:00,,,,,,19:13:00,19:14:41,19:15:16,19:19:00,19:20:24,,,,,19:16:03,19:17:00,,19:45:00,,,,19:40:15,19:32:00,19:42:35,19:44:14,,,,19:22:00,,,,19:26:39,19:28:34
113357888237593601,,19:39:25,,,19:49:46,19:51:00,,19:52:19,,20:01:00,,,,,,19:28:00,19:29:41,19:30:16,19:34:00,19:35:24,,,,,19:31:03,19:32:00,,19:59:00,,,,19:54:15,19:46:00,19:56:35,19:58:14,,,,19:37:00,,,,19:41:11,19:42:55
113357889237593601,,19:53:25,,,20:03:46,20:05:00,,20:06:09,,20:14:00,,,,,,19:42:00,19:43:41,19:44:16,19:48:00,19:49:24,,,,,19:45:03,19:46:00,,20:12:00,,,,20:07:51,20:00:00,20:09:54,20:11:20,,,,19:51:00,,,,19:55:11,19:56:55
113357890237593601,,20:10:09,,,20:19:46,20:21:00,,20:22:09,,20:30:00,,,,,,19:59:00,20:00:41,20:01:16,20:05:00,20:06:24,,,,,20:02:03,20:03:00,,20:28:00,,,,20:23:51,20:16:00,20:25:54,20:27:20,,,,20:08:00,,,,20:11:44,20:13:15
113357891237593601,,20:29:09,,,20:38:46,20:40:00,,20:41:09,,20:49:00,,,,,,20:18:00,20:19:41,20:20:16,20:24:00,20:25:24,,,,,20:21:03,20:22:00,,20:47:00,,,,20:42:51,20:35:00,20:44:54,20:46:20,,,,20:27:00,,,,20:30:44,20:32:15
113357892237593601,,20:49:09,,,20:58:46,21:00:00,,21:01:09,,21:08:00,,,,,,20:38:00,20:39:41,20:40:16,20:44:00,20:45:24,,,,,20:41:03,20:42:00,,21:07:00,,,,21:02:51,20:55:00,21:04:54,21:06:20,,,,20:47:00,,,,20:50:44,20:52:15
113357893237593601,,21:07:53,,,21:16:01,21:17:00,,21:18:09,,21:25:00,,,,,,20:58:00,20:59:41,21:00:16,21:04:00,21:04:56,,,,,21:01:03,21:02:00,,21:24:00,,,,21:19:51,21:13:00,21:21:54,21:23:20,,,,21:06:00,,,,21:09:16,21:10:36
113357894237593601,,21:27:53,,,21:36:01,21:37:00,,21:38:09,,21:45:00,,,,,,21:18:00,21:19:41,21:20:16,21:24:00,21:24:56,,,,,21:21:03,21:22:00,,21:44:00,,,,21:39:51,21:33:00,21:41:54,21:43:20,,,,21:26:00,,,,21:29:16,21:30:36
113357895237593601,,21:47:53,,,21:56:01,21:57:00,,21:58:09,,22:05:00,,,,,,21:38:00,21:39:41,21:40:16,21:44:00,21:44:56,,,,,21:41:03,21:42:00,,22:04:00,,,,21:59:51,21:53:00,22:01:54,22:03:20,,,,21:46:00,,,,21:49:16,21:50:36
113357896237593601,,22:07:53,,,22:16:01,22:17:00,,22:18:09,,22:25:00,,,,,,21:58:00,21:59:41,22:00:16,22:04:00,22:04:56,,,,,22:01:03,22:02:00,,22:24:00,,,,22:19:51,22:13:00,22:21:54,22:23:20,,,,22:06:00,,,,22:09:16,22:10:36
113357897237593601,,22:27:53,,,22:36:01,22:37:00,,22:38:09,,22:45:00,,,,,,22:18:00,22:19:41,22:20:16,22:24:00,22:24:56,,,,,22:21:03,22:22:00,,22:44:00,,,,22:39:51,22:33:00,22:41:54,22:43:20,,,,22:26:00,,,,22:29:16,22:30:36
113357898237593601,,22:47:53,,,22:56:01,22:57:00,,22:58:09,,23:05:00,,,,,,22:38:00,22:39:41,22:40:16,22:44:00,22:44:56,,,,,22:41:03,22:42:00,,23:04:00,,,,22:59:51,22:53:00,23:01:54,23:03:20,,,,22:46:00,,,,22:49:16,22:50:36
113357899237593601,,23:07:36,,,23:15:01,23:16:00,,23:16:59,,23:23:00,,,,,,22:58:00,22:59:41,23:00:16,23:04:00,23:04:56,,,,,23:01:03,23:02:00,,23:22:00,,,,23:18:26,23:12:00,23:20:12,23:21:26,,,,23:06:00,,,,23:08:48,23:09:56
113357900237593601,,23:27:36,,,23:35:01,23:36:00,,23:36:59,,23:43:00,,,,,,23:18:00,23:19:41,23:20:16,23:24:00,23:24:56,,,,,23:21:03,23:22:00,,23:42:00,,,,23:38:26,23:32:00,23:40:12,23:41:26,,,,23:26:00,,,,23:28:48,23:29:56
113357901237593601,,23:47:36,,,23:55:01,23:56:00,,23:56:59,,24:03:00,,,,,,23:38:00,23:39:41,23:40:16,23:44:00,23:44:56,,,,,23:41:03,23:42:00,,24:02:00,,,,23:58:26,23:52:00,24:00:12,24:01:26,,,,23:46:00,,,,23:48:48,23:49:56
113357902237593601,,24:07:36,,,24:15:01,24:16:00,,24:16:59,,24:23:00,,,,,,23:58:00,23:59:41,24:00:16,24:04:00,24:04:56,,,,,24:01:03,24:02:00,,24:22:00,,,,24:18:26,24:12:00,24:20:12,24:21:26,,,,24:06:00,,,,24:08:48,24:09:56
113357903237593601,,06:59:53,,,07:08:01,07:09:00,,07:09:59,,07:16:00,,,,,,06:50:00,06:51:41,06:52:16,06:56:00,06:56:56,,,,,06:53:03,06:54:00,,07:15:00,,,,07:11:26,07:05:00,07:13:12,07:14:26,,,,06:58:00,,,,07:01:16,07:02:36
113357904237593601,,11:01:53,,,11:10:46,11:12:00,,11:13:09,,11:20:00,,,,,,10:52:00,10:53:41,10:54:16,10:58:00,10:58:56,,,,,10:55:03,10:56:00,,11:19:00,,,,11:14:51,11:07:00,11:16:54,11:18:20,,,,11:00:00,,,,11:03:16,11:04:36
113357905237593601,,11:13:53,,,11:22:46,11:24:00,,11:25:09,,11:32:00,,,,,,11:04:00,11:05:41,11:06:16,11:10:00,11:10:56,,,,,11:07:03,11:08:00,,11:31:00,,,,11:26:51,11:19:00,11:28:54,11:30:20,,,,11:12:00,,,,11:15:16,11:16:36
113357907237593601,,,05:47:00,05:47:41,,,,,05:45:29,05:39:00,05:56:51,05:58:00,05:59:22,06:00:12,06:00:51,06:02:00,,,,,,,,,,,05:52:00,,05:50:00,05:51:15,05:43:49,,,,,05:40:38,05:42:00,05:56:00,,,05:53:07,05:54:25,,
113357908237593601,,,06:14:00,06:14:41,,,,,06:12:29,06:06:00,06:23:51,06:25:00,06:26:22,06:27:12,06:27:51,06:29:00,,,,,,,,,,,06:19:00,,06:17:00,06:18:15,06:10:49,,,,,06:07:38,06:09:00,06:23:00,,,06:20:07,06:21:25,,
113357909237593601,,,06:39:00,06:39:54,,,,,06:37:29,06:31:00,06:49:51,06:51:00,06:52:22,06:53:12,06:53:51,06:55:00,,,,,,,,,,,06:45:00,,06:43:00,06:44:15,06:35:49,,,,,06:32:38,06:34:00,06:49:00,,,06:46:07,06:47:25,,
113357910237593601,,,07:04:00,07:04:54,,,,,07:02:29,06:56:00,07:14:51,07:16:00,07:17:22,07:18:12,07:18:51,07:20:00,,,,,,,,,,,07:10:00,,07:08:00,07:09:15,07:00:49,,,,,06:57:38,06:59:00,07:14:00,,,07:11:07,07:12:25,,
113357912237593601,,,08:09:00,08:09:54,,,,,08:07:29,08:01:00,08:19:51,08:21:00,08:22:22,08:23:12,08:23:51,08:25:00,,,,,,,,,,,08:15:00,,08:13:00,08:14:15,08:05:49,,,,,08:02:38,08:04:00,08:19:00,,,08:16:07,08:17:25,,
113357913237593601,,,08:29:00,08:29:54,,,,,08:27:29,08:21:00,08:39:51,08:41:00,08:42:22,08:43:12,08:43:51,08:45:00,,,,,,,,,,,08:35:00,,08:33:00,08:34:15,08:25:49,,,,,08:22:38,08:24:00,08:39:00,,,08:36:07,08:37:25,,
113357914237593601,,,08:49:00,08:50:07,,,,,08:47:29,08:41:00,09:00:51,09:02:00,09:03:43,09:04:45,09:05:33,09:07:00,,,,,,,,,,,08:56:00,,08:54:00,08:55:15,08:45:49,,,,,08:42:38,08:44:00,09:00:00,,,08:57:07,08:58:25,,
