gid,code_ligne,variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,geom
2281,088b,2,18,4267,NEKKERSDAL,NEKKERSDAL,Nekkersdal,Nekkersdal,148420.000000,173718.000000,B,88,DE BROUCKERE,010100000000000000201E024100000000B0340541
2282,088b,2,19,4271,POUCHKINE,POESJKIN,Pouchkine,Poesjkin,148226.000000,173380.000000,B,88,DE BROUCKERE,0101000000000000001018024100000000202A0541
2283,088b,2,20,4217,DIEUDONNE LEFEVRE,DIEUDONNE LEFEVRE,Dieudonné Lefèvre,Dieudonné Lefèvre,148602.000000,173404.000000,B,88,DE BROUCKERE,010100000000000000D023024100000000E02A0541
2284,088b,2,21,2370,ENTREPOT,STAPELHUIS,Entrepôt,Stapelhuis,148899.000000,173137.000000,B,88,DE BROUCKERE,010100000000000000182D02410000000088220541
2285,088b,2,22,1349,TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148758.000000,172745.000000,B,88,DE BROUCKERE,010100000000000000B02802410000000048160541
2286,088b,2,23,1016,WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148947.000000,172547.000000,B,88,DE BROUCKERE,010100000000000000982E02410000000018100541
2287,088b,2,24,1024,WTC,WTC,WTC,WTC,149057.000000,172310.000000,B,88,DE BROUCKERE,0101000000000000000832024100000000B0080541
2288,088b,2,25,1083,GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149306.000000,172222.000000,B,88,DE BROUCKERE,010100000000000000D039024100000000F0050541
2289,088b,2,26,1904,ROGIER,ROGIER,Rogier,Rogier,149263.800000,171686.900000,B,88,DE BROUCKERE,0101000000666666667E3802413333333337F50441
2290,088b,2,27,2838,DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148955.500000,171354.500000,B,88,DE BROUCKERE,010100000000000000DC2E024100000000D4EA0441
2291,089b,1,1,1203,WESTLAND SHOPPING,WESTLAND SHOPPING,Westland Shopping,Westland Shopping,144044.000000,169738.000000,B,89,GARE CENTRALE,010100000000000000609501410000000050B80441
2292,089b,1,2,2648,WESTLAND SHOPPING,WESTLAND SHOPPING,Westland Shopping,Westland Shopping,144297.000000,169688.800000,B,89,GARE CENTRALE,010100000000000000489D014166666666C6B60441
2293,089b,1,3,1204,FRUITS,FRUIT,Fruits,Fruit,144473.000000,169665.000000,B,89,GARE CENTRALE,010100000000000000C8A201410000000008B60441
2294,089b,1,4,1205,WILLEMYNS,WILLEMYNS,Willemyns,Willemyns,144914.000000,169873.000000,B,89,GARE CENTRALE,01010000000000000090B001410000000088BC0441
2295,089b,1,5,1206,PETERBOS,PETERBOS,Peterbos,Peterbos,144890.000000,170228.000000,B,89,GARE CENTRALE,010100000000000000D0AF014100000000A0C70441
2296,089b,1,6,1207,PAULSEN,PAULSEN,Paulsen,Paulsen,145192.000000,170343.000000,B,89,GARE CENTRALE,01010000000000000040B901410000000038CB0441
2297,089b,1,7,2748,PRINCE DE LIEGE,PRINS VAN LUIK,Prince de Liège,Prins van Luik,145107.000000,170697.000000,B,89,GARE CENTRALE,01010000000000000098B601410000000048D60441
2298,089b,1,8,2754,RUE DE L'OBUS,BOMSTRAAT,Rue de l'Obus,Bomstraat,145469.000000,170770.000000,B,89,GARE CENTRALE,010100000000000000E8C101410000000090D80441
2299,089b,1,9,2776,SCHEUT,SCHEUT,Scheut,Scheut,145789.000000,170756.000000,B,89,GARE CENTRALE,010100000000000000E8CB01410000000020D80441
2300,089b,1,10,2784,VETERANS COLON.,KOLON. VETERANEN,Veterans Coloniaux,Koloniale Veteranen,146100.400000,170349.900000,B,89,GARE CENTRALE,010100000033333333A3D50141333333336FCB0441
2301,089b,1,11,2782,JACQUES BREL,JACQUES BREL,Jacques Brel,Jacques Brel,146413.900000,170258.600000,B,89,GARE CENTRALE,0101000000333333336FDF0141CDCCCCCC94C80441
2302,089b,1,12,1178,DELACROIX,DELACROIX,Delacroix,Delacroix,146801.000000,170614.000000,B,89,GARE CENTRALE,01010000000000000088EB014100000000B0D30441
2303,089b,1,13,4595,DUCHESSE BRABANT,HERTOGIN BRABANT,Duchesse de Brabant,Hertogin van Brabant,147293.700000,171007.000000,B,89,GARE CENTRALE,01010000009A999999EDFA014100000000F8DF0441
2304,089b,1,14,6648,TRIANGLE,DRIEHOEK,Triangle,Driehoek,147600.500000,171063.800000,B,89,GARE CENTRALE,0101000000000000008404024166666666BEE10441
2305,089b,1,15,3259B,PORTE DE NINOVE,NINOOFSEPOORT,Porte de Ninove,Ninoofsepoort,147889.900000,171119.400000,B,89,GARE CENTRALE,0101000000333333338F0D0241333333337BE30441
2306,089b,1,16,3260,PORTE DE FLANDRE,VLAAMSEPOORT,Porte de Flandre,Vlaamsepoort,148128.000000,171375.000000,B,89,GARE CENTRALE,010100000000000000001502410000000078EB0441
2307,089b,1,17,3261,DANSAERT,DANSAERT,Dansaert,Dansaert,148334.000000,171182.000000,B,89,GARE CENTRALE,010100000000000000701B02410000000070E50441
2308,089b,1,18,1894,BOURSE,BEURS,Bourse,Beurs,148588.600000,170988.600000,B,89,GARE CENTRALE,0101000000CDCCCCCC64230241CDCCCCCC64DF0441
2309,089b,1,19,1820,DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148771.000000,171120.000000,B,89,GARE CENTRALE,010100000000000000182902410000000080E30441
2310,089b,1,20,2296,ARENBERG,ARENBERG,Arenberg,Arenberg,149136.000000,170863.000000,B,89,GARE CENTRALE,010100000000000000803402410000000078DB0441
2311,089b,1,21,3347,GARE CENTRALE,CENTRAAL STATION,Gare Centrale,Centraal Station,149175.000000,170688.000000,B,89,GARE CENTRALE,010100000000000000B83502410000000000D60441
2312,089b,2,1,3347,GARE CENTRALE,CENTRAAL STATION,Gare Centrale,Centraal Station,149175.000000,170688.000000,B,89,WESTLAND SHOPPING,010100000000000000B83502410000000000D60441
2313,089b,2,2,2301,ARENBERG,ARENBERG,Arenberg,Arenberg,149164.000000,170985.000000,B,89,WESTLAND SHOPPING,010100000000000000603502410000000048DF0441
2314,089b,2,3,2595,DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148953.400000,171122.900000,B,89,WESTLAND SHOPPING,010100000033333333CB2E02413333333397E30441
2315,089b,2,4,2303,DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148674.000000,171122.000000,B,89,WESTLAND SHOPPING,010100000000000000102602410000000090E30441
